Sample	input_raw_reads	fastp	bowtie
SRR3992955	39188381	31880016	31853992
SRR3992956	21799550	20576936	20544240
SRR3992957	17391344	16485901	16485190
SRR3992958	27134710	24736778	24717027
SRR3992959	32324322	30899784	30878876
SRR3992960	20110374	18763808	18715709
SRR3992961	41273138	37824519	37815143
SRR3992962	32830593	30223371	30218571
SRR3992963	22077135	20632568	20619684
SRR3992964	16223873	13347206	13327476
SRR3992965	44043054	41882138	41875603
SRR3992966	21692271	19914569	19888786
SRR3992967	31422319	27794626	27781737
SRR3992968	21869218	19704389	19702593
SRR3992969	53915547	50985427	50976253
SRR3992970	20752374	18410592	18409342
SRR3992971	31012295	28727486	28712879
SRR3992972	21336162	20375127	20231873
SRR3992973	65127308	61306343	61240970
SRR3992974	19234618	16009951	16004927
SRR3992975	18630191	17159832	17114041
SRR3992976	18546684	15195057	15169969
SRR3992977	18146994	17136106	17132936
SRR3992978	31969735	30231504	30227457
SRR3992979	21272603	20100029	20041650
SRR3992980	25477311	22358661	22342826
SRR3992981	29284343	28353587	28335002
SRR3992982	17809628	16869755	16866162
SRR3992983	19815069	18731611	18713087
SRR3992984	25142336	22455579	22449192
SRR3992985	55223016	48838594	48800848
SRR3992986	23204216	21272276	21262769
SRR3992987	90778942	68953686	68581465
SRR3992988	22123833	20857364	20856679
SRR3992989	21182882	19673395	19658747
SRR3992990	33696837	25657176	25652945
SRR3992991	96803719	88860674	88663184
SRR3992992	16478448	15034875	14998158
SRR3992993	36018140	30173967	30093166
SRR3992994	20164903	18634682	18623987
SRR3992995	38903784	35809905	35805232
SRR3992996	18716894	17459315	17450175
SRR3992997	35424188	30985408	30976344
SRR3992998	34434564	31398376	31394563
SRR3992999	42976220	39276366	39236180
SRR3993000	28039346	26638392	26630260
SRR3993001	28746781	27434593	27420755
SRR3993002	30266148	29108185	29083804
SRR3993003	26357085	24580304	24570682
SRR3993004	24786446	23084564	23083744
SRR3993005	40007799	37504981	37071745
SRR3993006	19885316	18429586	18365898
SRR3993007	28585486	25779846	25770885
SRR3993008	18943026	17785696	17731612
SRR3993009	20037055	18355809	18350960
SRR3993010	18949571	17835973	17834770
SRR3993011	18222378	16599162	16597980
SRR3993012	39864769	35365540	35355167
SRR3993013	36182819	34059300	34042682
SRR3993014	32761390	31210312	30836478
SRR3993015	29838328	28121693	28116110
SRR3993016	29254457	25266756	25263862
SRR3993017	19092665	17768694	17750539
SRR3993018	31789334	28586849	28572939
SRR3993019	23433963	20816833	20812626
SRR3993020	28722683	19827620	19821711
SRR3993021	24721659	23579500	23577320
SRR3993022	32043046	29011807	29006367
SRR3993023	30441086	28126564	28121790
SRR3993024	19920921	16851762	16846950
SRR3993025	18590080	17479697	17473002
SRR3993026	17023926	15671296	15667048
SRR3993027	14578161	13806591	13799620
SRR3993028	11336562	10513181	10510029
SRR3993029	14097603	13139627	13135668
SRR3993030	37671127	36099587	36072330
SRR3993031	32633823	30746944	30240834
SRR3993032	28587408	27224219	27202901
SRR3993033	21990037	20664702	20466711
SRR3993034	28020598	26519911	26505349
SRR3993035	54221516	51827533	51810576
SRR3993036	19923852	18133608	18129242
SRR3993037	33600578	28635471	28631612
SRR3993038	18217969	16931874	16925995
SRR3993039	13719300	11626481	11618568
SRR3993040	36217013	34093237	34038473
SRR3993041	43016066	39484620	39481786
SRR3993042	40376889	38203080	38145266
SRR3993043	27920456	25731965	19172917
SRR3993044	39342758	37748468	37735845
SRR3993045	43910347	39433985	39407774
SRR3993046	29383232	27849040	27839282
SRR3993047	25242787	23552890	23548864
SRR3993048	23336254	20702247	20677036
SRR3993049	21442656	20048702	20020811
SRR3993050	19958990	18740645	18737174
SRR3993051	19348617	17573473	17569798
SRR3993052	16101448	13638334	13605271
SRR3993053	14917795	12730856	12683467
SRR3993054	24489286	22537116	22526325
SRR3993055	50225271	42898888	42883002
SRR3993056	27196429	22474853	22454465
SRR3993057	36316577	33147339	32998536
SRR3993058	28237190	25193240	25188051
SRR3993059	39221805	36224117	36202660
SRR3993060	36733716	32552597	32442777
SRR3993061	39393395	35257773	35236242
SRR3993062	18718502	17661712	17659969
SRR3993063	27064576	21950775	21942744
SRR3993064	18585925	16851318	16849386
