Sample	input_raw_reads	fastp	bowtie
SRS011061	26757230	18927656	18927655
SRS011084	111423600	107937981	107937963
SRS011134	56717852	54460344	54460315
SRS011239	61916490	60121168	60121154
SRS011271	62238412	59715952	59715931
SRS011302	60579449	58510506	58510498
SRS011405	61020717	58125568	58125547
SRS011452	18114940	16424071	16424031
SRS011529	62495197	59392279	59392253
SRS011586	57681957	53570263	53570235
SRS012273	53769964	51966850	51965584
SRS012849	41675892	36655418	36655389
SRS012902	50986836	50023094	50023079
SRS013098	84658906	69621611	69621500
SRS013158	55463878	52333269	52333189
SRS013215	50233735	48599151	48599140
SRS013382	5502020	5029369	5029369
SRS013476	44918049	43140502	43140492
SRS013521	57421120	55462167	55462161
SRS013639	85447894	72386853	72386734
SRS013687	54737259	50623549	50623485
SRS013800	50454586	48672697	48672692
SRS013940	19843290	18976309	18976271
SRS013951	44004059	41736332	41736306
SRS013965	30306973	28507991	28507967
SRS014235	47609453	45454840	45454829
SRS014313	53233758	48481152	48481099
SRS014412	22100727	19682955	19682161
SRS014459	40946097	38945050	38944771
SRS014534	10035413	9708453	9708414
SRS014613	52872663	51445128	51445117
SRS014683	42462768	38660857	38660836
SRS014736	27819045	26512077	26512012
SRS014855	30123761	28826003	28825966
SRS014923	50229494	48566875	48566788
SRS014948	20646931	19514508	19514497
SRS014979	49001269	46520932	46520848
SRS015065	45231041	42041768	42041562
SRS015190	59513738	57116371	57116354
SRS015217	47117906	46256916	46256875
SRS015264	31577655	30804803	30804775
SRS015369	29360616	27436239	27436178
SRS015431	149162797	120931908	120931900
SRS015486	27518143	25975712	25975669
SRS015578	57425398	55943796	55943492
SRS015579	22198444	20578675	20578425
SRS015663	53857904	51407023	51407006
SRS015694	24007074	22296526	22296427
SRS015782	51109164	50080584	50080501
SRS015794	56552706	54538125	54537996
SRS015854	46873931	44295230	44295079
SRS015890	146067069	119590166	119590158
SRS015960	45828317	42990413	42990407
SRS016018	41498499	40875044	40875037
SRS016056	44825955	44044417	44044413
SRS016095	53428995	51007037	51006987
SRS016132	23986652	22827692	22827586
SRS016203	14534418	14106270	14106261
