Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRS011061	26757230	18927656	70.73847330235603	18927655	70.7384695650484
SRS011084	111423600	107937981	96.87174081612872	107937963	96.87172466156181
SRS011134	56717852	54460344	96.01975758884522	54460315	96.01970645855911
SRS011239	61916490	60121168	97.10041379929643	60121154	97.10039118819559
SRS011271	62238412	59715952	95.94710096395133	59715931	95.94706722273055
SRS011302	60579449	58510506	96.58474444031341	58510498	96.58473123451486
SRS011405	61020717	58125568	95.25546545118439	58125547	95.25543103664285
SRS011452	18114940	16424071	90.66588683153243	16424031	90.66566601931886
SRS011529	62495197	59392279	95.03494964581039	59392253	95.03490804261327
SRS011586	57681957	53570263	92.87178484599612	53570235	92.87173630395377
SRS012273	53769964	51966850	96.64661482756432	51965584	96.64426035323363
SRS012849	41675892	36655418	87.95352958492167	36655389	87.95346000032825
SRS012902	50986836	50023094	98.1098219156019	50023079	98.10979249624354
SRS013098	84658906	69621611	82.23778724473478	69621500	82.23765613035444
SRS013158	55463878	52333269	94.3555894162323	52333189	94.35544517821131
SRS013215	50233735	48599151	96.74604327151863	48599140	96.74602137388351
SRS013382	5502020	5029369	91.40950051072151	5029369	91.40950051072151
SRS013476	44918049	43140502	96.04268876415358	43140492	96.0426665013879
SRS013521	57421120	55462167	96.58844515746122	55462161	96.58843470834425
SRS013639	85447894	72386853	84.71461332914771	72386734	84.71447406298861
SRS013687	54737259	50623549	92.48462550892437	50623485	92.48450858673797
SRS013800	50454586	48672697	96.46833094617008	48672692	96.46832103626815
SRS013940	19843290	18976309	95.6308606082963	18976271	95.63066910779412
SRS013951	44004059	41736332	94.84655040572507	41736306	94.84649132026661
SRS013965	30306973	28507991	94.06413170988735	28507967	94.06405252019066
SRS014235	47609453	45454840	95.47440085060418	45454829	95.4743777459489
SRS014313	53233758	48481152	91.07219520365254	48481099	91.07209564276863
SRS014412	22100727	19682955	89.0602150779927	19682161	89.05662243599498
SRS014459	40946097	38945050	95.11297255022866	38944771	95.11229116660374
SRS014534	10035413	9708453	96.74193777575472	9708414	96.74154915198805
SRS014613	52872663	51445128	97.30005087884452	51445117	97.30003007414247
SRS014683	42462768	38660857	91.04648335690221	38660836	91.04643390181253
SRS014736	27819045	26512077	95.30189479904864	26512012	95.30166114616803
SRS014855	30123761	28826003	95.69191244081375	28825966	95.6917896141853
SRS014923	50229494	48566875	96.68995471067258	48566788	96.68978150566278
SRS014948	20646931	19514508	94.5152962442699	19514497	94.51524296758681
SRS014979	49001269	46520932	94.93821884490379	46520848	94.9380474207719
SRS015065	45231041	42041768	92.94892859087635	42041562	92.94847315143599
SRS015190	59513738	57116371	95.9717418522762	57116354	95.97171328744297
SRS015217	47117906	46256916	98.17269044171869	46256875	98.17260342596718
SRS015264	31577655	30804803	97.5525351708352	30804775	97.5524465005397
SRS015369	29360616	27436239	93.44571993993587	27436178	93.44551217862731
