Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR5935740	10532910	9533204	90.50873880057839	9530545	90.48349411511158
SRR5935745	10492437	9604602	91.5383337541126	9599033	91.48525742875559
SRR5935747	3036382	2816017	92.74251395246053	2795984	92.08274848158105
SRR5935749	18879904	17381214	92.06198294228615	17378321	92.04665977115137
SRR5935764	11689489	10484080	89.68809500569273	10483928	89.68679469222307
SRR5935768	15746753	14337808	91.05247284948204	14337677	91.05164093194324
SRR5935770	16180463	15021369	92.83645962417762	15021205	92.83544605614809
SRR5935771	9230220	8346523	90.42604618308123	8342061	90.37770497344592
SRR5935772	15271512	13745525	90.00762334469566	13745476	90.00730248583113
SRR5935773	20671571	18676212	90.34732773817723	18675866	90.34565394183151
SRR5935774	12252617	10869077	88.70820821380445	10869001	88.70758793815232
SRR5935778	10554303	9602589	90.98269208303003	9600760	90.9653626582447
SRR5935781	8486948	7975197	93.97014097411697	7955532	93.73843223736024
SRR5935784	14800056	13594610	91.85512541303898	13592591	91.84148357276486
SRR5935788	11073410	10018249	90.47121889282525	10018176	90.47055965596866
SRR5935793	1771479	1632282	92.14232852887334	1632278	92.14210272884974
SRR5935795	11924297	10866356	91.1278543296934	10866272	91.12714988564944
SRR5935797	8439357	7450518	88.28300544697896	7445576	88.22444648330435
SRR5935798	20086542	17792613	88.57977147086841	17791916	88.57630148584062
SRR5935801	13162386	12196017	92.65810165421375	12195561	92.65463723674416
SRR5935810	15280552	14025521	91.78674304436123	14024064	91.77720804850506
SRR5935813	16980616	15230408	89.69290631152603	15229777	89.68919030970372
SRR5935816	12244248	11083051	90.51638777652985	11081312	90.50218518932319
SRR5935817	14261195	13075284	91.68435043486889	13075258	91.68416812195612
SRR5935818	8877621	8230666	92.71251836499891	8226558	92.66624470677448
SRR5935820	12062510	10903254	90.38959553194152	10903089	90.38822765742785
SRR5935825	11458367	10361558	90.42787685191092	10361543	90.42774594320466
SRR5935827	16260968	14777897	90.8795651033813	14774531	90.85886522868749
SRR5935833	12711109	11665035	91.77039548634191	11665011	91.77020667512174
SRR5935836	7326365	6603750	90.13678679672662	6603607	90.13483494202104
SRR5935840	14537634	13368295	91.95646967037415	13367165	91.9486967411616
SRR5935843	16390479	14668652	89.49495618767457	14668601	89.49464503142343
SRR5935848	18120282	16071060	88.69100381550354	16070162	88.68604804274017
SRR5935849	18029855	16384436	90.87391995110332	16383924	90.87108021667396
SRR5935850	11028882	10092593	91.51057196912615	10091096	91.4969985171661
SRR5935866	13126777	11770969	89.67143267536274	11770836	89.67041947920652
SRR5935868	6411559	5918559	92.31076248382024	5906664	92.12523818310025
SRR5935872	17794673	16180821	90.93070156445134	16180301	90.9277793416041
SRR5935876	15788250	14422105	91.34707773185755	14422055	91.34676104064732
SRR5935889	10923148	9724738	89.02871223570348	9724357	89.02522423023107
SRR5935892	2121840	1929953	90.95657542510274	1929933	90.95563284696301
SRR5935901	13284477	12158129	91.52132221690023	12158074	91.52090819984859
SRR5935912	7997656	7324084	91.57788231951962	7322457	91.55753885888565
SRR5935914	12402432	11365693	91.64084108665139	11365671	91.64066370208683
SRR5935915	9839779	8618529	87.5886440132446	8618444	87.5877801727051
SRR5935916	16507783	15004700	90.89470100255134	15004668	90.89450715459489
SRR5935924	10471015	9181434	87.68427893570967	9181375	87.68371547552935
SRR5935929	14472004	13097627	90.50320190624602	13097519	90.50245563779556
SRR5935938	17642464	16195058	91.79589653690097	16194866	91.794808253541
SRR5935951	11785571	10932148	92.75874711543463	10931644	92.75447069980741
SRR5935963	14739287	13574708	92.0988104784173	13574547	92.0977181596369
SRR5935965	9856171	8564774	86.89757919175712	8564736	86.89719364649821
SRR5935966	10734147	9683520	90.21229167068422	9683461	90.21174202291063
SRR5935968	14159907	12901682	91.1141718656768	12901631	91.11381169381974
SRR5935970	13062161	11905331	91.14365532625115	11905319	91.14356345783825
SRR5935971	11815266	10700883	90.56827836123199	10700511	90.5651298921243
SRR5935975	11627877	10669025	91.75385154142927	10668685	91.75092753389119
SRR5935976	10628890	9660445	90.88855938860972	9660309	90.8872798570688
SRR5935981	11535980	10482179	90.86509338608424	10482155	90.86488534134074
SRR5935984	12883571	11804643	91.62555164247553	11804539	91.62474441286503
SRR5935985	14604220	13377306	91.59890771297611	13376504	91.59341614957869
SRR5935991	14440563	13229709	91.61491141307995	13229353	91.61244613523725
SRR5935995	13923394	12697801	91.19759880385486	12697789	91.19751261797231
SRR5936008	10993389	10161274	92.43076907403167	10161190	92.43000497844659
SRR5936013	16589679	15353307	92.54734223609752	15353257	92.54704084388854
SRR5936014	13062966	11600171	88.80196886373278	11600062	88.80113444373964
SRR5936019	11843920	10750624	90.76913724510128	10750436	90.76754993279252
SRR5936020	13350045	12137666	90.91853997495889	12137404	90.91657743475771
SRR5936025	14390363	12654771	87.93920625907768	12654744	87.93901863351189
SRR5936031	14927120	13440815	90.04292187642359	13440704	90.04217826345604
SRR5936033	15410030	13601880	88.26640830679759	13601854	88.2662395855167
SRR5936035	13141016	11943996	90.89096307317486	11936723	90.83561727647238
SRR5936037	14646598	12849282	87.72878179629153	12849217	87.72833800722871
SRR5936041	16904184	15697121	92.8593832154217	15696900	92.85807584678444
SRR5936043	17247583	15910387	92.24705281893701	15909854	92.24396253086591
SRR5936052	14057101	12875291	91.5927900069865	12875273	91.59266195782473
SRR5936056	14093371	12815712	90.93432650002615	12815622	90.93368790192211
SRR5936058	10685778	9630882	90.12803747186213	9630871	90.12793453129945
SRR5936065	17189835	15695730	91.30820627423125	15695471	91.30669956983299
SRR5936095	14672681	13412372	91.41050636894512	13411822	91.40675790607047
SRR5936097	13394088	12146693	90.6869732377449	12146608	90.68633862940128
SRR5936098	21041980	19338955	91.90653636207239	19332821	91.87738511299793
SRR5936099	11811124	10740025	90.93143887067818	10739972	90.93099014115845
SRR5936103	9091822	8237890	90.60769117565214	8237819	90.60691025407228
SRR5936104	18484738	16982388	91.87248420832364	16982264	91.87181338464197
SRR5936105	11530074	10385778	90.07555372151124	10385711	90.07497263243931
SRR5936112	13949858	12688635	90.95888287895116	12688610	90.95870366565738
SRR5936115	12894021	11689069	90.65495550224402	11688812	90.65296233037003
SRR5936118	14363979	13067294	90.97266154454834	13066642	90.96812241232043
SRR5936127	15068248	13865061	92.01508363812435	13864945	92.01431380741809
SRR5936130	9088487	8154511	89.72352603904258	8154436	89.72270081917925
SRR5936132	13776331	12366360	89.76526478639342	12365968	89.76241932630684
SRR5936137	5520736	5060379	91.66131110054891	5013346	90.80937759023435
SRR5936141	2413772	2132301	88.33895662059217	2132225	88.33580802163584
SRR5936143	14351787	13099535	91.27459179821997	13099437	91.27390895642473
SRR5936156	12563284	11172640	88.93088781563802	11172345	88.92853970347244
SRR5936159	13121510	11786143	89.82306914371898	11786089	89.82265760571764
SRR5936165	15183946	13450944	88.58661641710263	13449588	88.57768593223395
SRR5936168	11083420	10021733	90.42094407682826	10021586	90.4196177714099
SRR5936169	12654338	11515163	90.99775112692579	11514783	90.99474820413363
SRR5936173	14400295	13233679	91.89866596482919	13233233	91.8955688060557
SRR5936191	12071491	10926792	90.51733543105819	10926754	90.51702063978675
SRR5936192	18779233	16982359	90.43159004417272	16982043	90.42990733434108
SRR5936195	15001775	13639050	90.91624157807992	13638998	90.91589495243063
SRR5936197	21739818	19996830	91.98250877721239	19995829	91.97790432284208
SRR5936198	10869833	9899205	91.07044238858131	9861092	90.7198114267257
SRR5936201	20363071	19014829	93.37898492815745	19014812	93.37890144369678
SRR5936204	12328850	11416256	92.59789842523837	11416169	92.59719276331532
SRR5936213	10772334	9740408	90.42059037530771	9740308	90.41966207137655
SRR5936228	11703584	10724899	91.63773250997302	10723796	91.62830804649242
SRR5936229	15117923	13498497	89.28803910431347	13498454	89.2877546737075
SRR5936231	12806926	11522526	89.97105160129762	11522501	89.97085639442282
SRR5936238	16682143	15401210	92.32153207174882	15400163	92.31525589967667
SRR5946609	13150098	11718005	89.10964009545785	11717557	89.1062332767406
SRR5946610	15172594	13813963	91.04549294603152	13813841	91.04468886467271
SRR5946611	11992706	10526164	87.77138370606266	10524375	87.75646630543599
