Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
HD-10	20581232	10661999	51.80447409562265	10659490	51.79228337739937
HD-11	23926332	12530092	52.36946473868205	12529350	52.36636355292571
HD-12	21250407	11066671	52.07745432828651	11056992	52.03190696535835
HD-13	20805385	11350922	54.55761573265767	11185778	53.76385969305543
HD-14	26414469	10980774	41.571057135390454	10977560	41.558889561626245
HD-15	41726028	22542216	54.02435141921489	22523792	53.98019672517116
HD-16	24181512	13755304	56.88355633014181	13705737	56.67857741898025
HD-17	21319521	10965091	51.43216397779293	10964138	51.427693896124595
HD-18	19153477	10339417	53.98193236664027	10168208	53.08805288982257
HD-19	26561710	15582376	58.66480734862326	15581310	58.66079405279253
HD-1	15181542	9659290	63.62522331394268	9658435	63.61959147496348
HD-20	28243174	12152966	43.0297458777119	11800350	41.78124597469109
HD-21	25811737	12445066	48.214755946103125	12441427	48.200657708545535
HD-22	23431461	10677865	45.57063257813928	10666041	45.52017050921408
HD-23	26092385	16565111	63.486381179796325	16550664	63.43101253488326
HD-24	17249594	5793046	33.583665795264515	5671527	32.87919124357362
HD-25	18464418	9013111	48.81340424593941	9010769	48.800720390970355
HD-26	19648331	8617000	43.856142285062276	8614202	43.84190188978392
HD-27	25154285	10651539	42.34482912155921	10632693	42.26990749289833
HD-28	39645279	16793779	42.36009790724389	16784738	42.33729317430204
HD-29	54432955	29366496	53.94984711008248	29303304	53.833755672459816
HD-2	14670034	9258979	63.114911662781424	9257610	63.10557971440285
HD-30	38637263	20953322	54.23086516247282	20949453	54.22085151321407
HD-31	47363178	26071039	55.044952853459286	26067909	55.038344344207644
HD-32	22539814	9692784	43.002945809579444	9692023	42.99956956166542
HD-33	40571199	17345732	42.75380670904008	17330650	42.71663255502999
HD-34	17962151	7732361	43.04807926400351	7729818	43.0339217168367
HD-35	26178445	13755753	52.546104247215595	13693817	52.30951265439945
HD-36	15369409	9131848	59.415739408067026	9131153	59.411217438484464
HD-37	27593867	12230565	44.323490433580766	10787034	39.092143192543475
HD-38	12665510	5768871	45.54787766146014	5767166	45.53441590587351
HD-39	19579561	11199894	57.201966887817356	11164693	57.022182468748916
HD-3	19123128	6963626	36.41468069449726	6871657	35.93374995973463
HD-40	35725137	19726075	55.21623332053282	19723257	55.20834531719221
HD-41	21795520	12371135	56.759990126411296	12369030	56.75033217835592
HD-42	20989441	11810937	56.270850662483106	11809609	56.26452367168806
HD-43	25486993	14898824	58.45657822403765	14896041	58.4456589288505
HD-44	16982057	10193266	60.023741529073895	9678837	56.9944913033798
HD-45	19815963	12085689	60.9896627279734	12084492	60.98362214342043
HD-46	14830387	8650649	58.330568177351005	8643715	58.28381282295601
HD-47	21528205	13015992	60.460182351477975	13006609	60.416597668035955
HD-48	26705542	14806871	55.44493723437629	14799838	55.41860187671907
HD-49	32580356	21158293	64.9418717217209	21138043	64.87971770474208
HD-4	25814995	11319802	43.84971602744839	11316525	43.83702185493354
HD-50	32517296	19742850	60.714919223295816	19735518	60.69237122299468
