Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR341616	14780645	11426964	77.31032035476125	11426946	77.31019857387821
SRR341617	12810108	9302973	72.62212777597192	9302704	72.62002787174004
SRR341618	16237015	12188205	75.06432062789867	12187803	75.06184480337058
SRR341619	13216943	9875999	74.7222636883582	9875922	74.72168110280873
SRR341620	15798707	13218622	83.66901164759875	13218446	83.66789763238219
SRR341621	13985762	10453699	74.74529453597165	10453155	74.74140486589147
SRR341622	14624429	11607391	79.36987488537159	11606749	79.36548497038756
SRR341623	14926107	11929026	79.92054458674322	11928988	79.92028999926103
SRR341624	15805636	12809321	81.0427432341223	12809116	81.04144622842131
SRR341625	12691777	8991476	70.84489429651971	8991108	70.84199478134543
SRR341626	13295066	10659491	80.17629246819835	10659383	80.17548013676652
SRR341627	14109925	11049807	78.31230144738544	11049744	78.3118549531624
SRR341628	14944402	12561716	84.05633092578746	12561590	84.05548780071628
SRR341629	14682375	11279679	76.82462135723954	11279666	76.82453281570591
SRR341630	14180143	10914223	76.96835638399415	10914162	76.96792620497551
SRR341631	14602534	10833461	74.1889113218295	10833392	74.18843880110123
SRR341632	30502951	18410123	60.35521940155889	18410012	60.3548555023414
SRR341633	30581764	18806778	61.49670764577216	18805871	61.49374182601108
SRR341634	15758241	12964583	82.27176497681435	12964494	82.2712001929657
SRR341635	12270998	8383616	68.32057180679192	8382451	68.31107787646938
SRR341636	15791284	12636333	80.02093433314226	12618006	79.90487663954369
SRR341637	12213728	8451764	69.1988883328661	8451613	69.19765201910506
SRR341638	12981728	10224523	78.76087836688613	10224471	78.76047780387943
SRR341639	16620780	12971867	78.04607846322496	12971841	78.04592203253999
SRR341640	16394422	14170455	86.43461172342643	14169233	86.42715796872864
SRR341641	13510124	11354149	84.04178229600261	11353991	84.04061280266562
SRR341642	14745963	11894894	80.66542686971343	11894852	80.6651420459959
SRR341643	20111772	14014119	69.68117478658768	14013650	69.67884281902161
SRR341644	15893868	13955965	87.80722854877114	13952775	87.78715791524128
SRR341645	15150248	7893269	52.099932621565	7893232	52.09968840114036
SRR341646	19526380	13246604	67.83952785923452	13246527	67.83913352090863
SRR341647	14641196	7654187	52.278427254166935	7654151	52.27818137261464
SRR341648	14751555	7715541	52.30323853993698	7715396	52.30225559271548
SRR341649	21941568	16191433	73.79341804560184	16189710	73.78556537071553
SRR341650	20787970	15113118	72.70126905128302	15113012	72.70075914098393
SRR341651	14349761	11635585	81.08556651222275	11635315	81.08368494778415
SRR341652	17550018	13783958	78.540990670209	13782398	78.53210179043691
SRR341653	17147691	14204009	82.83336222935205	14203472	82.83023061238974
SRR341690	16625807	12558873	75.53842649562816	12558844	75.53825206800488
SRR341691	14971272	12924973	86.33182938630732	12924947	86.33165572036899
SRR341692	15376462	11735645	76.32214094503664	11735620	76.32197835887085
SRR341693	16860428	15111861	89.6291659974468	15111462	89.62679950947864
