Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SAMEA1964895	31168729	26144553	83.88071582899643	26144094	83.87924319916927
SAMEA2041923	29581668	23862229	80.66559667967337	23861841	80.66428505654245
SAMEA2041924	27078241	19567575	72.26309493293897	19567057	72.26118195786795
SAMEA2041927	31591296	24457284	77.41779254640265	24456878	77.41650738228655
SAMEA2041928	25848448	20273230	78.43113056536315	20273110	78.43066632085609
SAMEA2041930	27796110	21360685	76.8477495592009	21360386	76.84667386911333
SAMEA2041931	56731898	44095188	77.72556454924177	44092753	77.72127243125199
SAMEA2041932	29136292	22732876	78.02254315682998	22732392	78.02088199829957
SAMEA2041933	27613839	22803069	82.57840932584564	22802569	82.57659863954447
SAMEA2041934	24466819	20903564	85.43637814135135	20903338	85.43545444138039
SAMEA2041935	28563768	23742675	83.12164907655041	23742556	83.12123246484848
SAMEA2041936	26396396	22327408	84.58506229411014	22326732	84.5825013384403
SAMEA2041937	26284872	21633352	82.30343294043814	21633225	82.30294977278186
SAMEA2041938	28902733	23273403	80.52319135356507	23273142	80.52228832477539
SAMEA2041939	30716562	25239851	82.17016930475486	25239623	82.16942703418437
SAMEA2042000	28274022	24090923	85.20515050883104	24090323	85.20302841951526
SAMEA2042001	26499314	19368566	73.09082038878441	19366965	73.0847787229511
SAMEA2042002	27698053	20751469	74.9203166013149	20750718	74.91760521939935
SAMEA2042003	26545683	20118927	75.78982616495496	20118205	75.78710632534865
SAMEA2042004	27120108	21023938	77.5215865659532	21021339	77.51200327078344
SAMEA2042005	27601066	21603903	78.27198775583523	21603692	78.27122329260762
SAMEA2042006	27533938	20684418	75.12335503915205	20684265	75.12279936128279
SAMEA2042007	25694400	19507658	75.92182732424185	19507553	75.92141867488635
SAMEA2042009	26542915	20151255	75.91952504086306	20151151	75.91913322255675
