Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SAMEA728578	23566422	695662	2.951920321209558	695617	2.9517293715609436
SAMEA728582	22430936	3195612	14.246449635449899	3195454	14.245745251112124
SAMEA728586	23340240	431275	1.8477744873231812	431179	1.8473631804985724
SAMEA728589	25799445	338516	1.312105744910404	338411	1.3116987594112974
SAMEA728594	18056455	1909154	10.573249289520009	1909089	10.572889307452654
SAMEA728599	15326546	5659209	36.924229373010725	5659176	36.92401406031078
SAMEA728602	24638063	55429	0.2249730427266137	55422	0.2249446314022332
SAMEA728607	13006003	7222753	55.5339945715836	7217813	55.496012110715334
SAMEA728611	24171155	2193339	9.07420021922825	2193125	9.073314866418256
SAMEA728614	23956831	2092173	8.733095792177187	2091622	8.730795821868092
SAMEA728617	27195743	5647785	20.767165655301273	5647644	20.76664719180498
SAMEA728622	23850421	237878	0.9973744278979395	237864	0.9973157287244532
SAMEA728627	21129209	3605735	17.06516793884712	3605497	17.064041536055612
SAMEA728630	23554013	2390078	10.147222046621101	2389893	10.146436617828138
SAMEA728635	23282027	6394924	27.467213228470182	6394591	27.465782940634853
SAMEA728643	21279388	5051217	23.737604671713303	5051054	23.736838672240008
SAMEA728655	22123799	3684959	16.656086054659962	3684861	16.655643092761782
SAMEA728658	28147828	6692516	23.776314108498887	6691800	23.77377039535697
SAMEA728661	24613986	601044	2.4418799945689416	600987	2.441648418911102
SAMEA728667	29246368	6202670	21.20834286158199	6202050	21.206222940229708
SAMEA728670	26780524	276174	1.031249425888754	276170	1.031234489661218
SAMEA728672	93025399	37322634	40.12090719438892	37321985	40.12020953546246
SAMEA728674	21640412	4102904	18.959454191537574	4102784	18.958899673444296
SAMEA728676	24824873	3162839	12.740604956971985	3162023	12.73731793109274
SAMEA728685	27756113	1225544	4.415402113401109	1224801	4.412725225610661
SAMEA728690	29223066	5754215	19.690661479531272	5753871	19.689484327209197
SAMEA728697	22286982	1402120	6.291206229717419	1401836	6.289931943230358
SAMEA728700	23894805	1225363	5.128156517703325	1225300	5.127892862067717
SAMEA728703	12977322	3023599	23.299098226891495	3023340	23.297102437621568
SAMEA728706	13707475	6994753	51.02874891254589	6994637	51.02790265895069
SAMEA728712	18740711	1150377	6.138385037792856	1150369	6.138342349978077
SAMEA728723	21570384	4385632	20.331728911270194	4384628	20.32707438124421
