Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SAMEA1964687	33794131	28231710	83.54027508504362	28231174	83.53868901082262
SAMEA1964695	28542845	16551915	57.98971686249216	16551753	57.98914929468313
SAMEA1964852	31957940	17312035	54.17131079162174	17311246	54.16884192160071
SAMEA1965149	48927310	37211867	76.05541158915133	37208736	76.04901230008353
SAMEA1965858	58867554	45968431	78.08789031730451	45968342	78.08773913045546
SAMEA1966821	29519581	14866925	50.3629268992673	14866684	50.362110492015454
SAMEA1967319	38736150	31664164	81.74318821049587	31660951	81.7348936329501
SAMEA1967891	30449273	16277811	53.458783728596735	16277659	53.45828453769652
SAMEA1969126	29390647	17475145	59.45818409509664	17474627	59.45642162964293
SAMEA1969178	29434545	14882505	50.561355713159486	14882434	50.561114499986324
SAMEA1969417	32602841	26759104	82.07598840849482	26759000	82.07566941788907
SAMEA1970858	43368945	35721509	82.36656206416826	35721425	82.36636837718787
SAMEA1971210	44805852	36301530	81.0196177052944	36300868	81.01814021971951
SAMEA1972188	53912811	43535178	80.75108159357522	43534670	80.75013933144758
SAMEA1972381	43534468	34710004	79.72993720745593	34709889	79.72967304895054
SAMEA2142349	49333495	40124104	81.33237671484657	40121882	81.32787267555238
SAMEA2142525	37194352	29292461	78.755131961971	29292001	78.75389521505845
SAMEA2142594	32813386	16445148	50.117193026041264	16444982	50.11668713493938
SAMEA2142793	37186014	28098951	75.56322385077358	28096812	75.55747168814598
SAMEA2142846	29645550	15913457	53.679074937047886	15912124	53.674578478051515
SAMEA2142848	29602114	17353020	58.62088092762564	17352766	58.6200228807983
SAMEA2142970	43812936	36779613	83.94692608593955	36779484	83.94663165235035
SAMEA2143074	51852692	40667793	78.42947286131258	40667265	78.42845459209717
SAMEA2143633	45441497	38688141	85.13835052573202	38687603	85.13716658586313
SAMEA2143863	40424075	31800867	78.66813773722714	31800005	78.66600534458735
SAMEA2143980	29704572	10764039	36.23697725723838	10763521	36.23523341793984
SAMEA2144223	46210848	38784561	83.92955913728309	38784467	83.92935572184263
SAMEA2144304	44271885	34701158	78.38193020242983	34701055	78.38169754913305
SAMEA2144396	37683974	29375626	77.95256943973054	29375161	77.95133549343814
SAMEA2144525	28266807	17331367	61.313493950696305	17331231	61.31301282100946
SAMEA2144555	49442487	38526008	77.92085377905849	38525921	77.92067781703619
SAMEA2144578	29989355	18533021	61.79866489292617	18532262	61.796133994879185
SAMEA2144588	38964566	20407243	52.373849101771086	20406470	52.37186524803074
SAMEA2144623	36904022	28145192	76.26592028370241	28144586	76.26427818626381
SAMEA2144980	44427195	35420746	79.72762178661065	35420599	79.7272909081926
SAMEA2145068	29415295	16135614	54.85450341395522	16134761	54.85160356202445
SAMEA2145301	35915650	28712155	79.94329769891398	28711552	79.94161876507874
SAMEA2145365	48028606	39978917	83.23980296242618	39976847	83.23549303096576
SAMEA2145582	29823448	14200395	47.61486666464588	14200041	47.61367967915715
SAMEA2145648	29844475	13122752	43.97045684335208	13122642	43.97008826591857
SAMEA2145758	29555661	17795034	60.2085468499588	17794833	60.2078667771971
SAMEA2145815	39518019	33127896	83.82984987177622	33125973	83.82498373716557
SAMEA2146009	45883744	37724951	82.2185543533675	37724139	82.21678466343113
SAMEA2146107	38335125	27530239	71.81465822793065	27529694	71.81323655524795
SAMEA2146320	30961766	18516508	59.804431052156396	18514927	59.79932475427919
SAMEA2146477	47809980	35744268	74.76319379342974	35743057	74.76066084947118
SAMEA2146552	52389167	45074553	86.03792650492038	45074113	86.03708663663234
SAMEA2146600	38582052	32074259	83.13258973369275	32073901	83.13166184110685
SAMEA2146682	35654486	16920966	47.45816837746588	16917530	47.44853144145733
SAMEA2146731	33258542	19272965	57.948917303711035	19271446	57.94435005599464
SAMEA2146908	27505770	16738995	60.85630396822194	16737461	60.850726956562205
SAMEA2147022	33041041	19506984	59.038648328301754	19506649	59.03763443772853
SAMEA2147036	42976394	36535643	85.01328194264042	36535569	85.0131097550902
SAMEA2147070	30179345	18583508	61.57690963803224	18581935	61.5716974639443
SAMEA2147092	29733201	12881378	43.32321299681121	12881306	43.32297084326709
SAMEA2147114	35379933	26931016	76.1194658000059	26929978	76.11653193351158
SAMEA2147216	31752577	17820155	56.121917285642674	17819710	56.12051582458961
SAMEA2147326	44625196	36335247	81.4231650657624	36334873	81.42232697420533
SAMEA2147384	30834750	19691565	63.86160095346971	19691281	63.86067991470662
SAMEA2147587	35213514	27577953	78.31639012226952	27574187	78.3056953645694
SAMEA2147589	31603726	20268864	64.13441250566468	20268370	64.13284939883354
SAMEA2147991	34911534	25691176	73.58936447765372	25691080	73.58908949689807
SAMEA2148094	53159662	41933168	78.88155496549244	41933019	78.88127467778105
SAMEA2148105	31546860	19985172	63.35074869574975	19985011	63.350238343847856
SAMEA2148265	29697354	15286891	51.47559947596678	15286615	51.47467010023856
SAMEA2148412	46018505	36153430	78.56280859189145	36153349	78.56263257574318
SAMEA2148549	29214862	11705718	40.06768199007752	11703591	40.060401449098066
SAMEA2148755	43801963	37670309	86.00141733373913	37670248	86.00127807057414
SAMEA2149068	49356390	42230526	85.56242869464319	42230193	85.56175400996709
SAMEA2149228	40226900	33344495	82.89103808645459	33344340	82.89065277214998
SAMEA2149241	49032102	40831234	83.27449229078533	40828680	83.26928345841668
SAMEA2149271	33282106	27595269	82.91322970968244	27593823	82.90888503269595
SAMEA2149539	40360654	21701497	53.768942891757895	21699559	53.76414118562103
SAMEA2149636	53426062	42115476	78.82945967456857	42115334	78.829193886684
SAMEA2149794	45067560	38605933	85.66235447403854	38605549	85.66150241992244
SAMEA2149983	44057142	37091373	84.1892399647712	37091270	84.18900617747742
SAMEA2150168	52266862	44611615	85.35353624252399	44609942	85.35033536162932
SAMEA2150234	45647261	36929295	80.90144773418059	36928075	80.8987750656058
SAMEA2150447	29418312	12633777	42.94528183670089	12632070	42.939479328385666
SAMEA2150563	30950602	25191619	81.39298550638854	25191184	81.39158004099565
SAMEA2150726	49644642	36516874	73.55652599932134	36516400	73.55557121350577
SAMEA2150876	31231455	20056458	64.21877559018624	20055207	64.21477001311658
