Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
DRR127488	41054802	39513653	96.24611756744072	39513569	96.24591296287338
DRR127524	38214617	37369443	97.788348892781	37369393	97.78821805279378
DRR127532	16670202	16300886	97.78457393617666	16300884	97.78456193872157
DRR127535	13888655	13393934	96.43794881505805	13393929	96.43791281445179
DRR127537	20410487	19879732	97.3995965897335	19879570	97.39880288010767
DRR127546	49676994	48107852	96.84131048670135	48106297	96.83818026509414
DRR127552	13758304	13419758	97.53933333643448	13419704	97.53894084619732
DRR127583	23718448	22604190	95.30214624498197	22604186	95.30212938047211
DRR127588	19097749	18546142	97.11166483547355	18546134	97.11162294571993
DRR127596	18255033	17639269	96.62688092648203	17639232	96.6266782426523
DRR127597	16683150	16174640	96.95195451698271	16174356	96.95025220057363
DRR127613	19591338	19007031	97.01752376483934	19007010	97.01741657461068
DRR127616	22104492	21495800	97.24629726844661	21495701	97.2458493956794
DRR127619	16951730	16507316	97.37835607339191	16507306	97.37829708236269
DRR127628	20347713	19862786	97.61679850703615	19862737	97.61655769373196
DRR127634	33959999	32679292	96.22877786303822	32679259	96.22868068989048
DRR127649	19594177	19074536	97.34798251541773	19074522	97.34791106561914
DRR127672	20443735	19773884	96.7234411911522	19773842	96.72323574924053
DRR127683	20613087	20018178	97.11392573077482	20018167	97.11387236661835
DRR127692	17737322	17285697	97.45381518134474	17285691	97.4537813543668
DRR127704	20018816	19365454	96.73626052609706	19365406	96.73602075167682
DRR127707	29216670	28234114	96.63700209503683	28234034	96.6367282787532
DRR127713	23365749	22479022	96.20501358633956	22478124	96.20117035409393
DRR127721	21301935	20619440	96.79608918156966	20618873	96.79342745154372
DRR127724	28440378	27754218	97.58737383870213	27754206	97.58733164517011
DRR127728	26945497	25702425	95.38671712011843	25702293	95.38622724234777
DRR127731	32316669	31577738	97.71346793198272	31577642	97.71317087166378
DRR127736	20652336	20219226	97.90285224877225	20218860	97.90108005215488
DRR127737	31904039	31194298	97.77538825099856	31194143	97.77490241909497
DRR127748	17444276	17060431	97.79959340244329	17060419	97.79952461197013
DRR127751	27059422	26406267	97.58621969087145	26405752	97.5843164720961
DRR127752	23863524	23363426	97.9043413705369	23363406	97.90425756061846
DRR127755	21766752	21217770	97.477887376123	21217717	97.47764388550023
DRR127756	25475003	24798718	97.34529962567619	24793916	97.32644977509915
DRR127762	26075583	25439074	97.5589845872286	25439046	97.55887720707914
DRR127763	23948192	23309687	97.33380707821283	23306541	97.32067038714239
