Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SAMEA4545280	30225882	26193121	86.65792118158868	26178882	86.61081254800108
SAMEA4545282	36247486	30908603	85.2710254167696	30765587	84.8764711571997
SAMEA4545284	30503498	26335908	86.33733744241398	26335205	86.33503278869853
SAMEA4545288	38991436	34997357	89.75652243225922	34996898	89.75534525068531
SAMEA4545296	23398384	20263284	86.60121143408878	20211197	86.37860204362832
SAMEA4545308	26354397	22968506	87.15246264219212	22968168	87.15118012375696
SAMEA4545326	36766255	32451353	88.26396106973637	32451107	88.26329197792921
SAMEA4545332	31002969	27273267	87.96985540320348	27267029	87.9497347495977
SAMEA4545340	26771825	23002366	85.92005214437192	23001890	85.9182741557589
SAMEA4545360	26904128	23365158	86.84599627239359	23362780	86.83715748007145
SAMEA4545362	27572754	24193459	87.74407881055335	24192808	87.7417177841575
SAMEA4545364	24596198	21238304	86.34791442157037	21237636	86.34519855467093
SAMEA4545372	32233358	26225696	81.36197289776635	26122363	81.04139506656426
SAMEA4545380	35607855	32654039	91.7045943935685	32653546	91.70320986759803
SAMEA4545388	30603430	27272679	89.11641276811129	27272381	89.11543902105092
SAMEA4545394	18874788	15934370	84.42145151511106	15934316	84.42116541918246
SAMEA4545396	43399188	40618870	93.59361746583829	40618630	93.59306446010004
SAMEA4545400	37842007	32553480	86.0247185092482	32543100	85.99728867446169
SAMEA4545406	33388848	27426757	82.14346598600825	27425829	82.1406866148841
SAMEA4545412	29047653	25578574	88.0572829756676	25578449	88.05685264830174
SAMEA4545420	26965495	23718866	87.96006155273619	23718095	87.95720234321676
SAMEA4545422	27777338	25199216	90.71861385709458	25198951	90.71765984199061
SAMEA4545430	34180759	29972502	87.68822833922442	29972319	87.68769295029405
SAMEA4545434	26467057	21189982	80.06172352294402	21183076	80.0356307087713
SAMEA4545446	28809752	24848837	86.25147831886925	24848363	86.24983304264472
SAMEA4545450	26683095	22787585	85.40083150024388	22787490	85.40047546958101
