Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
ERR260147	13969150	10142512	72.60650791207769	10135371	72.55538812311416
ERR260153	13917531	10951979	78.69196770605362	10935596	78.57425286137318
ERR260163	15933285	8771412	55.050869924187005	8769332	55.03781549128131
ERR260170	15149519	8253317	54.47906959950346	8250440	54.46007889755444
ERR260171	28856602	25298824	87.67083525634793	25285167	87.62350813169202
ERR260175	15849917	13931222	87.89460537869063	13810552	87.1332764707853
ERR260180	15971316	12980949	81.27663994626366	12979333	81.26652180696945
ERR260193	13971868	11521513	82.46222337628727	11519563	82.44826676003524
ERR260204	13213300	10930119	82.72058456252412	10926988	82.69688874088986
ERR260205	14999378	9724737	64.83426846099884	9723818	64.8281415402692
ERR260209	12460015	10316603	82.7976772098589	10314513	82.78090355428947
ERR260215	7653274	6393301	83.53681052056938	6392676	83.5286440809515
ERR260216	4849280	3953533	81.52824749241124	3951887	81.49430430909331
ERR260217	8413357	7101486	84.40728237254166	7100515	84.39574120056952
ERR260218	6919590	5848426	84.51983426763724	5833600	84.30557301805453
ERR260221	7653823	6283632	82.09795287923434	6281743	82.07327240256275
ERR260223	6267937	5086919	81.15778764209021	5086174	81.1459017536392
ERR260224	13689474	11384978	83.16592733950186	11379209	83.12378547196188
ERR260225	9310011	7595935	81.58889393363768	7594656	81.57515603365023
ERR260226	13649613	10982562	80.46061086127497	10981396	80.45206849454266
ERR260227	10970243	9102116	82.970960625029	9088374	82.84569448461625
ERR260230	9883620	7720338	78.11245272481135	7717433	78.08306065996062
ERR260231	10392457	7967254	76.66381491883969	7963700	76.62961703858866
ERR260234	12290046	9230459	75.10516234031996	8295820	67.50031692314252
ERR260242	7929514	6738744	84.98306453585933	6729503	84.86652523723396
ERR260243	11371398	9727542	85.54394103521837	9726002	85.53039828524162
ERR260244	9602014	8061158	83.95278323901631	8059093	83.93127733410928
ERR260246	12325479	10649872	86.40533970322775	9421576	76.43983653698164
ERR260250	16372748	13403780	81.86640385596846	12505413	76.37943856461969
ERR260251	12391800	10350138	83.5240885101438	10348894	83.51404961345406
ERR260252	14759413	11917506	80.74512177415187	11916308	80.73700492018212
ERR260253	12277317	10104446	82.30174393965719	10093411	82.21186273841427
ERR260255	9900293	8335361	84.1930738817528	8331338	84.15243872075301
ERR260256	14922510	11331834	75.93785495871673	11323570	75.88247553528194
ERR260258	11827877	9860918	83.37014326408703	9860242	83.36442795270868
ERR260259	19451938	14140504	72.69457675631085	14139915	72.69154878038373
ERR260260	19181630	13880742	72.36476774914333	13877770	72.3492737582781
ERR260263	22588195	16334020	72.31219670274672	16331420	72.30068626554711
ERR260264	24518042	17712586	72.24306900200268	17709998	72.23251350984715
ERR260265	22021962	15989209	72.60574239479661	15971952	72.52737971303375
ERR260266	19437678	14309853	73.61914833654514	14304218	73.59015824832575
ERR260267	20191326	14504095	71.83329613914411	14501456	71.82022617038623
ERR260268	4155208	2385648	57.41344356287339	2378136	57.23265838918292
