Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SAMEA4809485	26830722	24196892	90.18352916481338	24196854	90.1833875361237
SAMEA4809486	23291672	21292380	91.4162796041435	21292304	91.41595330725934
SAMEA4809487	31919192	28783984	90.17767116410717	28783953	90.17757404385425
SAMEA4810909	21136257	19875382	94.03453979576422	19875375	94.03450667731757
SAMEA4810910	27477052	25027528	91.08520084323457	25027512	91.0851426128247
SAMEA4810934	36408336	32562408	89.43668285197104	32562400	89.43666087898112
SAMEA4812182	25686933	22404166	87.22008968528863	22404092	87.21980160107087
SAMEA4812183	22924794	20561063	89.68919415371846	20561046	89.68911999819933
SAMEA4812184	25036918	21420685	85.55639715719003	21420666	85.55632126925526
SAMEA4812185	23941604	21846498	91.24909926669909	21846475	91.24900319961854
SAMEA4812186	23966255	21736006	90.69421150697094	21735988	90.69413640136933
SAMEA4812187	22064711	20528208	93.03637831467631	20527765	93.03437058387033
SAMEA4812188	20795411	18793705	90.37428978922321	18793693	90.37423208418434
SAMEA4812189	31135426	28434132	91.32404997445674	28434030	91.32372237335053
SAMEA4812190	19623010	17919432	91.31846745224101	17919391	91.31825851385695
SAMEA4812191	25469218	23300093	91.48334668147251	23300072	91.48326422899989
SAMEA4812192	22630449	20800644	91.91441141976459	20800623	91.91431862443383
SAMEA4812193	27161510	25217101	92.84130742362998	25217081	92.84123379002125
SAMEA4812194	26839245	24452344	91.10667606335424	24452329	91.1066201750459
SAMEA4812195	25756303	23745438	92.19272657259856	23745421	92.19266056933715
SAMEA4812196	23624531	21334699	90.30739700187064	21334529	90.30667741086586
SAMEA4812197	21332743	19126652	89.65866227329509	19126590	89.65837164025274
SAMEA4812198	22887179	20671352	90.31847917998107	20671331	90.31838742555385
SAMEA4812199	20691531	19204667	92.8141421724666	19204659	92.81410350930533
SAMEA4812200	19652643	17788920	90.51668012287202	17788875	90.51645114603669
SAMEA4812201	22459068	20866881	92.91071650880616	20866684	92.90983935753701
SAMEA4812202	28556123	26246753	91.91287276637658	26246703	91.91269767257971
SAMEA4812203	22650433	21195241	93.57543407669073	21195156	93.57505880792654
SAMEA4812204	34803107	30957157	88.94940615503093	30957139	88.9493544355106
SAMEA4812205	22948946	20201830	88.0294458839199	20201793	88.0292846564718
SAMEA4812206	25289274	22712882	89.81231331512323	22712862	89.8122342302116
SAMEA4812207	20785773	18497556	88.9914269726702	18497525	88.99127783219801
SAMEA4812208	23273324	20991723	90.19649707106728	20991613	90.19602442693618
SAMEA4812209	25118776	21613757	86.04621897181615	21611972	86.03911273383703
SAMEA4812210	25691106	23479574	91.3918380936967	23479520	91.39162790422492
SAMEA4812211	23255797	21523221	92.54991776889005	21523207	92.54985756884618
SAMEA4813753	25233595	22855018	90.57376881890987	22854989	90.57365389275685
SAMEA4813754	26445212	24353732	92.09127156931092	24353726	92.09124888089383
SAMEA4813755	20721874	18977092	91.57999899043881	18977087	91.579974861347
SAMEA4813756	23906966	21916936	91.67594081156095	21916865	91.67564382699169
SAMEA4813757	26478271	24204400	91.4123131378178	24204384	91.41225271091152
SAMEA4813758	22325567	20338724	91.10059332423674	20338717	91.10056197004985
SAMEA4813759	19783652	17424344	88.0744566271182	17424332	88.07439597097644
SAMEA4813760	20210816	18863154	93.33197630417297	18863147	93.33194166925274
SAMEA4813761	23863878	20444256	85.67030052701409	20444189	85.67001976795223
SAMEA4813762	30771488	28061370	91.19276259893574	28061348	91.1926911041806
SAMEA4813763	20904422	18839776	90.12340068527128	18839769	90.12336719953319
SAMEA4813764	23572777	20536126	87.11797511171467	20536121	87.11795390080685
SAMEA4813765	27609741	24888904	90.1453729681854	24888853	90.1451882507699
SAMEA4813766	26006855	23384603	89.91707378689196	23384540	89.91683154306817
SAMEA4813767	24958227	22845242	91.53391384732578	22845217	91.53381367995411
SAMEA4813768	23394126	21338430	91.21276853856392	21338426	91.2127514402547
SAMEA4813769	33013072	28689320	86.90290924758533	28689308	86.90287289834767
SAMEA4813770	19380959	17507254	90.33223794550105	17507205	90.33198512003456
SAMEA4813771	24729747	22787573	92.1464057032205	22787330	92.14542308095591
SAMEA4813772	25092144	22543964	89.84470996181115	22543961	89.84469800587786
SAMEA4813773	25272598	22237528	87.9906687868022	22237519	87.99063317510927
SAMEA4813774	28166293	24937860	88.53795563370728	24937809	88.53777456621643
SAMEA4813775	20064291	18668728	93.04454366217077	18668720	93.04450379034076
SAMEA4813776	30521161	27475725	90.02188678209194	27475711	90.02184091227721
SAMEA4813777	24138687	21538462	89.22797665009699	21538446	89.22791036645862
