Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
BEB01	26991532	25626828	94.94395501522477	25614882	94.89969669005819
BEB02	23516778	22439770	95.42025697567924	22253782	94.62938332793719
BEB03	27935935	26618846	95.28532336576528	26618608	95.28447141647487
BEB04	23923604	22685081	94.82300827249941	22671817	94.76756512104113
BEB05	28672928	27522669	95.98834482477687	27511323	95.94877439792685
BEB10	23558694	22278028	94.5639346561401	22277271	94.56072140501507
BEB11	25506833	24118267	94.55610188846259	24108321	94.51710841561554
BEB13	20332525	19509922	95.95425064029185	19504108	95.92565606091718
BEB15	22287783	21386033	95.95406146946065	21377010	95.91357740695878
BEB16	23062905	22194263	96.23359676502157	22128514	95.94851125649609
BEB18	17350928	16653789	95.98212268531113	16598908	95.66582260038196
BEB19	23897879	23001309	96.24832814661085	22859357	95.65433401014374
BEB21	23845892	22820834	95.70132247516679	22716183	95.2624586239005
BEB22	23378815	22349751	95.59830555996956	22236946	95.11579607435193
BEB23	23537954	22646933	96.2145350441249	22631817	96.15031535876058
BEB25	16416447	15749234	95.9357039924656	15700231	95.63720456685908
BEB27	22324883	21087339	94.4566607583117	21086434	94.45260698566706
BEB28	22773642	21764439	95.56854806095572	21650534	95.06838651455047
BEB29	23539860	22250282	94.52172612751308	22248336	94.51345929839854
BEB30	24220053	22851973	94.35145744726488	22850870	94.34690336969948
BEB31	23985104	22897467	95.46536466967164	22830124	95.1845945716975
BEB32	27034774	25660889	94.91808217076274	25653668	94.89137212687629
BEB33	22957204	21615858	94.15718917687015	21375874	93.1118353959829
BEB34	21067605	20014634	95.00194255588141	20012988	94.99412961273957
BEN02	29273562	27938213	95.4383788347998	27928445	95.40501084220637
BEN04	27352253	26102643	95.43141839175003	26053144	95.25044975271324
BEN05	27387756	26247258	95.83573769241993	26180304	95.59127078538307
BEN07	23279149	22334425	95.94175886755998	22332254	95.93243292527575
BEN08	28500876	27418809	96.20339038000095	27416737	96.19612042801772
BEN09	27037106	25883718	95.7340552646426	25822002	95.50579118933808
BEN10	26208752	25149867	95.95980380904821	25146555	95.94716680901098
BEN11	26589484	25561200	96.1327418012324	25558199	96.12145538439182
BEN12	28249702	27187719	96.24072848626864	27186815	96.23752845251252
BEN13	26008293	25033699	96.25275676492878	24924305	95.83214477013159
BEN14	26894452	25446833	94.61740659374655	25443252	94.60409157992883
BEN16	27173476	25720166	94.65173318275512	25715996	94.6363873359448
BEN17	27969972	26561499	94.96433889887341	26519967	94.81585108487059
BEN18	27900491	26521917	95.05896150716488	26520636	95.05437019011602
BEN19	24277729	23008367	94.77149613128971	23003502	94.75145718942657
BEN20	26290052	24860965	94.56415301118462	24536889	93.33145860647214
BEN21	28025629	26441512	94.34761303662444	26423492	94.28331474736927
BEN22	25886521	24583044	94.9646497495743	24337727	94.01698667812488
BEN23	27197672	25792650	94.83403579541661	25653244	94.3214698669798
BEN24	25257422	23861847	94.474594438023	23831413	94.3540991634063
BEN26	20783151	19885330	95.68005352027707	19878611	95.6477244475585
BEN27	23926993	22929240	95.83001090024142	22924154	95.80875457271209
BEN28	23987203	22969514	95.75736695937414	22655223	94.4471224927725
BEN29	25940531	24973040	96.27035005567157	24971493	96.26438641522026
BEN30	24281761	23368544	96.23908249488166	23341559	96.12794969854123
BEN31	21677272	20799407	95.95029762047548	20798107	95.94430055590021
BEN32	23814026	22927915	96.27903740425914	22923437	96.26023335995349
BEN33	25672785	24582780	95.75423936281163	24579973	95.74330560552741
BEN34	23353928	22208295	95.09447404308175	22195698	95.04053450879869
BEN35	30046702	28954263	96.36419664294604	28950444	96.3514864293592
BEN36	26084683	25082867	96.15937061608147	25078140	96.14124887007445
BEN37	8957446	8430641	94.11880350716041	8429855	94.11002868451565
