Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
ERR7671874	33228873	30833732	92.79198846136009	30833522	92.79135648085327
ERR7671875	34870083	32417926	92.96773397413479	32416096	92.96248592238797
ERR7671876	40486176	37417457	92.4203288549652	37417232	92.41977310971528
ERR7671877	33258606	30794954	92.59243757841203	30792233	92.58425623731794
ERR7671878	35324675	32882805	93.08735324528817	32878620	93.07550600253222
ERR7671879	38504285	35384015	91.89630452818433	35383842	91.89585522754156
ERR7671880	33060554	30396571	91.94211022598108	30396475	91.94181984972182
ERR7671881	34401783	31370510	91.18861659001803	31369918	91.18689574897905
ERR7671882	26654333	24803298	93.05540678883241	24800288	93.04411406580687
ERR7671883	37073096	34096351	91.97060585390548	34095943	91.96950532537126
ERR7671884	39249362	36595887	93.23944424880078	36595426	93.23826970741588
ERR7671885	45371840	42022116	92.61717400043727	42006544	92.5828531529689
ERR7671886	36606784	32584292	89.01162145246083	32584210	89.01139745026497
ERR7671887	37692991	35090049	93.0943606995794	35089695	93.09342153293167
ERR7671888	39894397	36986609	92.711287251691	36986201	92.7102645516863
ERR7671889	9318362	8417029	90.32734508489797	8416450	90.32113154651
ERR7671890	37908313	35259230	93.01186787183065	35259162	93.01168849165089
ERR7671891	27880416	25892564	92.87007769181062	25891983	92.86799379177126
ERR7671892	31260354	28940237	92.57808468835637	28940033	92.57743210457565
ERR7671893	35448858	32055945	90.42871000244917	32054885	90.4257197791816
ERR7671894	36176619	33334410	92.14351954780517	33333878	92.14204898473237
ERR7671895	38089455	35183684	92.37119302442106	35183150	92.36979106159434
ERR7671896	34203995	31919110	93.31983003739768	31918795	93.31890909234433
ERR7671897	37824591	34740285	91.84576510027563	34738635	91.84140285879099
ERR7671898	37091872	34040871	91.77447555087002	34040490	91.77344837165404
ERR7671899	9479300	8467017	89.32112075786188	8466831	89.31915858765943
ERR7671900	36258104	33723333	93.0090911538011	33721937	93.00524098005786
ERR7671901	39312785	36114831	91.86535881393291	36111020	91.85566476656385
ERR7671902	47165417	44245537	93.80927767478447	44243448	93.80484858217197
ERR7671903	9098156	8235878	90.52249708622274	8235836	90.52203545421732
ERR7671904	34527453	31934689	92.49071745894491	31933326	92.4867698755538
ERR7671905	39155686	35697778	91.16882283712255	35487480	90.63174119845583
ERR7671906	39529028	35202349	89.05442602838602	35200678	89.0501987552034
ERR7671907	31899760	28913388	90.6382618552616	28907752	90.62059401073864
ERR7671908	26934563	24522746	91.04564273049465	24512301	91.00686356040008
ERR7671909	25325532	23481995	92.72063860297189	23481305	92.71791407975161
ERR7671910	43897431	41221251	93.9035612357361	41219041	93.8985267725576
ERR7671911	40289318	37254933	92.46851237342861	36405917	90.36121435463366
ERR7671912	34714441	32327936	93.12532499083018	32326290	93.1205834482543
ERR7671913	37469456	34493576	92.05785106674621	34489761	92.04766944041035
ERR7671914	45693665	42331410	92.64174804100305	42331267	92.6414350873365
ERR7671915	34836614	32691802	93.84322483235597	32690609	93.8398002745043
ERR7671916	35683614	33457674	93.76201076494101	33456691	93.7592559991261
ERR7671917	35082183	32444903	92.48256586541379	32433521	92.45012204628202
ERR7671918	36204580	33461567	92.42357458641973	33441284	92.36755128771
ERR7671919	36822968	33973664	92.2621555112016	33973298	92.26116156633545
ERR7671920	40136248	37202323	92.69008652727081	37201600	92.68828516307752
ERR7671921	43791771	40517379	92.52281438903212	40516754	92.52138718025357
ERR7671922	39200271	36335971	92.69316275900236	36327230	92.67086444376876
ERR7671923	38756270	35967414	92.80411659842395	35963310	92.79352734409167
ERR7671924	84410752	78647182	93.17199543489436	78645795	93.17035227929257
ERR7671925	34174620	31473166	92.0951454617491	31472207	92.09233928570384
ERR7671926	37046862	32985025	89.03594857777698	32963054	88.97664261010824
ERR7671927	45123447	42084718	93.2657427523212	42083920	93.26397427040536
ERR7671928	32579503	29860150	91.65317838028407	29854888	91.63702712100918
ERR7671929	39946579	37185644	93.08843192805071	37184748	93.08618893247404
ERR7671930	45003879	42151932	93.66288625920446	42150111	93.65883994133038
ERR7671931	37225361	34665075	93.12219967457132	34570454	92.8680154371102
ERR7671932	37976450	34762529	91.53706836736978	34761414	91.53413233727744
ERR7671933	36817307	34000676	92.34970933642703	33999243	92.34581714518121
ERR7671934	32210412	29495328	91.5707877316192	29493790	91.56601287807185
ERR7671935	23166067	21044830	90.84334427591874	21044733	90.84292556004435
ERR7671936	34406436	31743111	92.25922440789857	31742904	92.2586227762736
ERR7671937	29292538	26531706	90.57496485965129	26530901	90.57221671949355
ERR7671938	37947108	35077691	92.43837764922692	35050656	92.36713374837419
ERR7671939	31851176	29712541	93.28553834244613	29708178	93.27184026109428
ERR7671940	37157850	34229381	92.11884164449773	34229182	92.118306091445
ERR7671941	39340103	36218956	92.06624598822225	36218355	92.0647182850538
ERR7671942	32091856	29800540	92.86013248968835	29781043	92.79937875827437
ERR7671943	39864750	37630440	94.39527402028108	37629440	94.39276553847698
ERR7671944	40402643	37755577	93.44828505402481	37720118	93.36052099363896
ERR7671945	36367592	33973331	93.41649840330369	33973114	93.41590171821109
ERR7671946	33000403	29017802	87.93165950124913	29016790	87.92859287203251
ERR7671947	29680386	27253769	91.8241730414153	27253538	91.82339474965049
ERR7671948	36109519	32355893	89.60488507199446	32347795	89.58245885247045
ERR7671949	48937028	45453105	92.88080387717864	45452673	92.87992111004371
ERR7671950	24271644	21758210	89.6445663095586	21757861	89.64312841767126
ERR7671951	38451052	36055367	93.76952027216316	36052996	93.76335399093892
ERR7671952	37184252	34735199	93.41373600845864	34734977	93.41313898152367
ERR7671953	44974824	41300737	91.83079182255388	41298927	91.82676734877273
ERR7671954	50839730	47433402	93.29987000324353	47432583	93.2982590584175
ERR7671955	30552707	28079754	91.90594470074288	28079457	91.9049726101193
ERR7671956	36821313	34360118	93.31584129007024	34359322	93.31367949860994
ERR7671957	37116616	34007243	91.62269265064465	34006934	91.62186013940496
ERR7671958	42248148	39381667	93.21513217573467	39380736	93.21292852884343
ERR7671959	34993389	32335232	92.40383090646066	32333805	92.39975299334398
ERR7671960	41895739	38808509	92.631159937291	38803490	92.61918019873096
ERR7671961	26647758	25028750	93.92441195240515	25025553	93.91241469545018
ERR7671962	11734474	10623270	90.53043195630242	10623139	90.5293155875585
ERR7671963	32537608	29779869	91.52445686849507	29779706	91.52395590972759
ERR7671964	32576076	29190526	89.60725042512794	29183075	89.58437781149577
ERR7671965	41369401	38246665	92.45158033591059	38246353	92.45082615530256
ERR7671966	11018738	9865996	89.53834822100318	9865861	89.537123035324
ERR7671967	9453739	8520042	90.123516208772	8519987	90.12293442837802
ERR7671968	31183469	27795072	89.1339959643361	27789511	89.11616279766693
ERR7671969	35889277	33625718	93.69293786553573	33623609	93.68706145849637
ERR7671970	41422350	38264595	92.37668794744866	38242528	92.32341477487395
ERR7671971	40222535	37241326	92.58821205575431	37241047	92.5875184147394
ERR7671972	43061274	38472834	89.34439329407672	38472190	89.34289775077254
ERR7671973	41099291	37958316	92.3575932246617	37958076	92.35700927298235
ERR7671974	36751201	34121354	92.84418759539315	34120825	92.84274818665111
ERR7671975	35001979	32125796	91.78279890974164	32112316	91.74428680161199
ERR7671976	40181986	37498575	93.32185571912747	37492395	93.30647569286397
ERR7671977	38571919	35843978	92.92765029398718	35843533	92.92649660495242
ERR7671978	38764969	35886691	92.57505403912486	35886337	92.57414084350228
ERR7671979	97167389	85691210	88.18926893260453	85690480	88.18851765174013
ERR7671980	44171031	40484759	91.65454843016909	40482653	91.64978059941595
ERR7671981	39707923	36896298	92.91923427976829	36895543	92.91733289600668
ERR7671982	37374885	34940315	93.4860802916183	34929322	93.45666749208726
