Sample	input_raw_reads	fastp	bowtie
SAMEA2466887	19441026	10796572	10796163
SAMEA2466888	19330062	14783724	14780274
SAMEA2466890	41280291	36641900	36640277
SAMEA2466891	17338108	8945683	8945302
SAMEA2466892	18262334	10129885	10128363
SAMEA2466894	18276972	9391894	9391519
SAMEA2466896	19307896	9930107	9929893
SAMEA2466897	25019747	20617269	20616665
SAMEA2466898	18113211	10273860	10273480
SAMEA2466900	44183270	37188454	37187671
SAMEA2466901	15000419	7718119	7717193
SAMEA2466902	29841558	24552424	24551365
SAMEA2466903	36157541	28636353	28635897
SAMEA2466907	21601905	17497675	17496127
SAMEA2466909	5953194	5262082	5260509
SAMEA2466911	20262319	15609097	15608929
SAMEA2466912	28855308	21771831	21769920
SAMEA2466913	43574702	39054862	39053463
SAMEA2466933	38854418	34864336	34863857
SAMEA2466940	46574413	37919564	37919460
SAMEA2466961	24000063	19492509	19491129
SAMEA2466965	42141246	38723758	38723514
SAMEA2466978	6436717	5787162	5787139
SAMEA2466979	39708809	35122489	35122424
SAMEA2466980	24039454	20128978	20128922
SAMEA2466981	44830160	39999419	39998903
SAMEA2466982	7403037	5100175	5093240
SAMEA2466985	4215880	3786780	3786741
SAMEA2467010	17480615	14850637	14848114
SAMEA2467011	29557894	26274562	26274481
SAMEA2467012	32451093	28557312	28557141
SAMEA2467013	34294675	30215978	30215016
SAMEA2467014	30986245	27376998	27376915
SAMEA2467015	33724649	30337350	30337212
SAMEA2467016	31230015	27330921	27330519
SAMEA2467017	36238309	31830874	31830849
SAMEA2467018	31159348	27807501	27807160
SAMEA2467019	31515564	28089625	28089151
SAMEA2467020	28128807	24801191	24800340
SAMEA2467021	28453362	24956465	24955921
SAMEA2467022	34251424	29875062	29874352
SAMEA2467023	29725483	26423748	26423626
SAMEA2467024	19681060	16787954	16786238
SAMEA2467025	28417199	24634204	24633019
SAMEA2467026	38401964	34227481	34227190
SAMEA2467027	25358270	21872381	21871797
SAMEA2467028	31510809	28126736	28126503
SAMEA2467029	30094526	26559323	26559186
SAMEA2467030	32281417	28824142	28824059
SAMEA2467031	29917559	26688057	26687995
SAMEA2467032	29010067	25947392	25946678
SAMEA2467033	29101486	25437282	25436815
SAMEA2467034	27642810	24347308	24347143
SAMEA2467035	35354460	30906760	30906465
SAMEA2467036	32025452	28252326	28251089
SAMEA2467037	35216845	31302902	31302654
SAMEA2467038	34539245	30967873	30967859
SAMEA2467039	35443944	31145701	31145556
SAMEA2467040	36588707	32356975	32356827
SAMEA2467041	24187553	21691184	21691077
SAMEA2467042	33771666	30096281	30096197
SAMEA2467081	50355125	45271219	45269705
SAMEA2467082	62639845	56987202	56907004
SAMEA2467083	62868846	55364958	55362957
SAMEA2467084	68897971	58324200	58319972
SAMEA2467085	83994606	72340026	72336547
