Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SAMEA2466887	19441026	10796572	55.5349907972964	10796163	55.53288699886518
SAMEA2466888	19330062	14783724	76.48047895552533	14780274	76.46263110796023
SAMEA2466890	41280291	36641900	88.76366690341403	36640277	88.75973524508342
SAMEA2466891	17338108	8945683	51.59549704039218	8945302	51.59329956878801
SAMEA2466892	18262334	10129885	55.46873143378059	10128363	55.460397340230436
SAMEA2466894	18276972	9391894	51.38648787118566	9391519	51.38443610900099
SAMEA2466896	19307896	9930107	51.43029048840951	9929893	51.42918213356856
SAMEA2466897	25019747	20617269	82.40398673895464	20616665	82.40157264579854
SAMEA2466898	18113211	10273860	56.720257937700836	10273480	56.71816002143408
SAMEA2466900	44183270	37188454	84.16863215420678	37187671	84.16685999021801
SAMEA2466901	15000419	7718119	51.45268942154216	7717193	51.44651626064578
SAMEA2466902	29841558	24552424	82.2759455119602	24551365	82.27239676963248
SAMEA2466903	36157541	28636353	79.19883987685999	28635897	79.19757872915085
SAMEA2466907	21601905	17497675	81.00061082575819	17496127	80.99344479109597
SAMEA2466909	5953194	5262082	88.39090410962585	5260509	88.3644813187677
SAMEA2466911	20262319	15609097	77.03509652572343	15608929	77.03426740048856
SAMEA2466912	28855308	21771831	75.45173664408642	21769920	75.44511394576
SAMEA2466913	43574702	39054862	89.62737599444742	39053463	89.6241654159792
SAMEA2466933	38854418	34864336	89.73068648203662	34863857	89.72945367499779
SAMEA2466940	46574413	37919564	81.41715924578588	37919460	81.41693594721204
SAMEA2466961	24000063	19492509	81.21857430124247	19491129	81.21282431633617
SAMEA2466965	42141246	38723758	91.89039640640905	38723514	91.88981740122256
SAMEA2466978	6436717	5787162	89.90859781469342	5787139	89.9082404896782
SAMEA2466979	39708809	35122489	88.45011946845347	35122424	88.44995577681517
SAMEA2466980	24039454	20128978	83.73309144209348	20128922	83.73285849171117
SAMEA2466981	44830160	39999419	89.22435030345642	39998903	89.22319929261907
SAMEA2466982	7403037	5100175	68.89300972019997	5093240	68.79933194984706
SAMEA2466985	4215880	3786780	89.82181656024365	3786741	89.82089148647495
SAMEA2467010	17480615	14850637	84.95488860088733	14848114	84.94045547024518
SAMEA2467011	29557894	26274562	88.89186083419881	26274481	88.89158679573043
SAMEA2467012	32451093	28557312	88.00107903915594	28557141	88.00055209234401
SAMEA2467013	34294675	30215978	88.10690872562577	30215016	88.10410362541707
SAMEA2467014	30986245	27376998	88.35209945574238	27376915	88.35183159495446
SAMEA2467015	33724649	30337350	89.95601407148818	30337212	89.95560487523532
SAMEA2467016	31230015	27330921	87.51491473827342	27330519	87.51362751506844
SAMEA2467017	36238309	31830874	87.83763613252484	31830849	87.83756714475834
SAMEA2467018	31159348	27807501	89.24288467139941	27807160	89.24179029676745
SAMEA2467019	31515564	28089625	89.12937429899715	28089151	89.12787028022092
SAMEA2467020	28128807	24801191	88.17007774272119	24800340	88.16705237445726
SAMEA2467021	28453362	24956465	87.71007447204305	24955921	87.70816257143883
SAMEA2467022	34251424	29875062	87.2228319616726	29874352	87.22075905515636
SAMEA2467023	29725483	26423748	88.89257745618465	26423626	88.8921670339217
SAMEA2467024	19681060	16787954	85.30004989568651	16786238	85.29133085311462
SAMEA2467025	28417199	24634204	86.68765700658957	24633019	86.6834869967304
SAMEA2467026	38401964	34227481	89.12950650128208	34227190	89.12874872753905
SAMEA2467027	25358270	21872381	86.2534431568084	21871797	86.25114016058667
SAMEA2467028	31510809	28126736	89.26059626079419	28126503	89.25985683198422
SAMEA2467029	30094526	26559323	88.2530032205857	26559186	88.25254798829528
SAMEA2467030	32281417	28824142	89.29020061294088	28824059	89.28994349907255
SAMEA2467031	29917559	26688057	89.20532921820259	26687995	89.20512198204406
SAMEA2467032	29010067	25947392	89.44271655766944	25946678	89.44025534308486
SAMEA2467033	29101486	25437282	87.40887664636782	25436815	87.4072719173172
SAMEA2467034	27642810	24347308	88.07826700686363	24347143	88.07767010662086
SAMEA2467035	35354460	30906760	87.41969188611564	30906465	87.41885747936753
SAMEA2467036	32025452	28252326	88.21835207821579	28251089	88.21448952539373
SAMEA2467037	35216845	31302902	88.88616228966563	31302654	88.88545808121086
SAMEA2467038	34539245	30967873	89.65995927241606	30967859	89.65991873881435
SAMEA2467039	35443944	31145701	87.87312439044594	31145556	87.87271529376076
SAMEA2467040	36588707	32356975	88.4343220983458	32356827	88.43391760195297
SAMEA2467041	24187553	21691184	89.67911718891118	21691077	89.67867481261953
SAMEA2467042	33771666	30096281	89.11695680041369	30096197	89.11670807119792
SAMEA2467081	50355125	45271219	89.90389558163146	45269705	89.90088893632972
SAMEA2467082	62639845	56987202	90.97596266402	56907004	90.84793233444304
SAMEA2467083	62868846	55364958	88.06421864336431	55362957	88.06103582687044
SAMEA2467084	68897971	58324200	84.65300088445275	58319972	84.6468642741308
SAMEA2467085	83994606	72340026	86.12460900167804	72336547	86.12046706904012
