Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SAMN02333917	50512720	39482192	78.1628706591132	39452403	78.10389739455725
SAMN02333918	51722577	41216112	79.68688799090579	41213544	79.68192304107353
SAMN02333919	59524362	46443276	78.02397949263195	46441154	78.02041456572016
SAMN02333920	56342200	43726604	77.60897515538974	43726393	77.60860065812126
SAMN02333921	62520745	49439819	79.07746300847822	49436002	79.07135783490745
SAMN02333922	51331504	39240396	76.44505409387577	39238197	76.4407701749787
SAMN02333923	49466865	37870635	76.5575805137439	37869519	76.55532445809938
SAMN02333924	54809842	43228250	78.86950303560445	43227453	78.86804891719994
SAMN02333925	58859049	46117627	78.35265398188815	46117474	78.35239403885033
SAMN02333926	60590420	47537292	78.45677914099292	47537197	78.45662235053
SAMN02333936	52503024	41092906	78.26769368560561	41092521	78.26696039450984
SAMN02333939	63166327	48599807	76.93942217029652	48598818	76.93785646266879
SAMN02333940	51369568	40595027	79.02543973116535	40592856	79.02121349356102
SAMN02333941	52789556	41327026	78.28636785655102	41323754	78.28016966083216
SAMN02333942	64507392	51174227	79.33079514360153	51169823	79.32396801904501
SAMN02333943	65200961	50799631	77.91239610716781	50799502	77.91219825732323
SAMN02333944	53923179	42848962	79.46297454013236	42848459	79.46204173162712
SAMN02333945	56856476	44980731	79.11276632762116	44978759	79.10929794523318
SAMN02333946	56316866	44320118	78.69777057551462	44318600	78.6950751130221
SAMN02333947	55549905	44259778	79.6757042158758	44259636	79.67544858987607
SAMN02333948	52785783	42087973	79.73353923726016	42087797	79.73320581414886
SAMN02333956	64701781	51077140	78.94240191008033	51069336	78.93034041829544
SAMN02333957	54548708	42336403	77.61210952970691	42265189	77.48155831665161
SAMN02333958	48163544	37648801	78.1686684019764	37648563	78.1681742522934
SAMN02333960	44560279	34743728	77.9701760844002	34666064	77.79588633186071
SAMN02333961	51248398	40684621	79.38710786627907	40684362	79.38660248462791
SAMN02333962	58855644	45786424	77.7944490761158	45785464	77.79281796661675
SAMN02333963	58735048	46179667	78.6236984091679	46172292	78.6111420220513
SAMN02333964	50790333	40056695	78.86676978471473	40039348	78.83261564754852
SAMN02333965	61782620	48524211	78.54022862740364	48523504	78.53908429263764
SAMN02333966	56031715	43735852	78.055529801292	43734162	78.05251365231281
SAMN02333967	56597309	44983457	79.47985124169065	44980297	79.47426793736784
SAMN02333968	54643609	43263493	79.17393047739581	43252859	79.15446983013146
SAMN02333969	50916301	40847930	80.22564325715649	40846917	80.22365371750001
SAMN02333970	113984511	88127639	77.31545121950823	88125752	77.31379573142179
SAMN02333977	57852761	46080573	79.6514672826073	46079558	79.64971282874468
SAMN02333978	64277258	49796836	77.47193571947328	49794534	77.46835435948435
SAMN02333979	62698989	48569403	77.46441174673487	48566946	77.46049302326071
SAMN02333980	58698748	46585996	79.3645479457245	46552972	79.30828780198173
SAMN02333981	62190513	49435399	79.49025762176942	49435225	79.48997783633011
SAMN02333982	57430868	44786019	77.98248670035773	44780740	77.97329477938588
SAMN02333983	56013859	44367081	79.20732795788985	44366970	79.2071297926465
SAMN02333984	51947187	41358130	79.6157258717397	41356770	79.61310782814861
SAMN02333985	59125654	46621586	78.85170454097641	46617490	78.8447769220447
SAMN02333986	52993688	42175303	79.58552158136267	42163818	79.56384918898266
SAMN02333993	46797361	37237581	79.57196774407856	37237214	79.57118351182238
SAMN02333994	53941624	42942174	79.60860429415325	42941326	79.60703222431717
SAMN02333996	47471789	36124049	76.09582398506195	36121909	76.09131604456701
SAMN02333997	59317327	45073692	75.98739572334404	45071793	75.98419429789882
SAMN02333998	53551935	42615879	79.57859786018938	42615604	79.57808433999631
SAMN02333999	47529494	37620406	79.15170735880336	37594843	79.09792391225541
SAMN02334000	57618416	45031724	78.15508847032518	45024534	78.14260982113774
SAMN02334001	57820668	44707557	77.32106623188788	44706198	77.31871586125571
SAMN02334002	53671944	42769881	79.68759432302285	42768303	79.68465423946634
SAMN02334003	58461391	46854536	80.14611900014489	46853372	80.14412794249114
SAMN02334004	55098044	43482354	78.91814453522161	43470745	78.89707482174866
SAMN02334005	47231419	36645846	77.58785735402107	36643500	77.58289032137696
SAMN02334006	52643758	41673975	79.1622342006815	41444634	78.7265871102895
SAMN02334016	55176575	43237520	78.36209478388247	43236399	78.36006312461402
SAMN02334017	63427263	49748246	78.43353732605487	49746334	78.43052284945671
SAMN02334018	58860724	46783241	79.48125306783518	46781979	79.47910902353155
SAMN02334019	60576200	47768641	78.85711054836719	47768003	78.85605732944622
SAMN02334021	58801472	44876333	76.31838366223212	44869065	76.30602342744072
SAMN02334022	64518034	50829482	78.78337086340852	50820260	78.76907718545795
SAMN02334023	51985567	41016174	78.89915676018308	41015617	78.89808530894739
SAMN02334024	53120080	41948579	78.9693445491799	41946384	78.96521240178855
SAMN02334025	55927195	44391978	79.37458333106103	44390953	79.37275059119271
SAMN02334026	49914245	40220191	80.57858232654826	40220101	80.57840201729987
SAMN02334027	49216570	39099296	79.44335820232902	39092607	79.42976725115139
SAMN02334028	55002123	43017080	78.20985382691501	43015370	78.2067448560122
SAMN02334030	46162836	36458711	78.97849040297264	36458068	78.97709750761413
SAMN02334031	10689967	7874156	73.65931064146409	6982630	65.31947198714458
SAMN02334036	59591566	46106354	77.37060308165084	46104872	77.36811615254415
SAMN02334037	63034518	49570081	78.63958125292558	49514876	78.5520022537493
