Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR1927149	14834811	13256528	89.36094972831134	13248968	89.30998851282972
SRR1929408	31843136	30009879	94.24285032730445	29813938	93.62751834492683
SRR1929484	8271548	7156846	86.52365917480017	7148249	86.41972457876084
SRR1929485	4744817	4131596	87.07598206632626	4125568	86.9489381782269
SRR1929563	14081791	12530628	88.98461850484786	12505660	88.80731151314488
SRR1929574	10431372	9388377	90.00136319556047	9368130	89.8072660048937
SRR1930121	35645325	32610752	91.4867573798247	32393876	90.87832976694699
SRR1930122	15396618	13874171	90.11180896999588	13855109	89.98800256004273
SRR1930123	38920714	34338699	88.2273100128636	34172040	87.79910872138676
SRR1930128	15333733	13834962	90.22566129200241	13827069	90.17418654674631
SRR1930132	4866860	3994827	82.0822255006308	3992804	82.04065865876561
SRR1930133	4913103	4833879	98.38749564175635	4815364	98.01064622500282
SRR1930134	11313742	10001590	88.40213962807354	9995206	88.34571267402067
SRR1930136	13390711	9327013	69.6528586122126	9317624	69.58274284315448
SRR1930138	4929987	4188364	84.9568974522651	4178801	84.76292128153685
SRR1930140	8449886	7503738	88.80283118612488	7498624	88.74230965956227
SRR1930141	32369669	30669802	94.74858083967432	30411039	93.94918125359885
SRR1930142	5271272	5152832	97.75310399463355	5135088	97.41648695039831
SRR1930143	6603974	5604949	84.8723662449307	5598945	84.781451289784
SRR1930144	5055719	4246708	83.99810195147317	4243612	83.93686437082441
SRR1930145	16695141	14799449	88.64524714106938	14785116	88.55939581462654
SRR1930149	4105469	3609664	87.92330425585968	3607461	87.86964412592081
SRR1930176	5243950	3174277	60.532175173294945	3171344	60.476244052670225
SRR1930177	5537392	4816844	86.98759271512654	4808853	86.8432829028539
SRR1930179	5247168	3223989	61.44245810311391	3223067	61.42488671984583
SRR1930187	4041601	2557222	63.27250018000292	2554434	63.20351761591508
SRR1930244	8006701	7052404	88.08127092544107	7033883	87.84995218380203
SRR1930247	1940463	1567534	80.78144236710517	1553318	80.04883370618249
SRR1930248	4831072	2995287	62.00046283723364	2991517	61.92242632691046
SRR1930250	1870124	1106903	59.18874898135097	1099466	58.79107481642929
SRR1930251	2404767	1466852	60.99767669799194	1463863	60.87338191184427
SRR1930253	9974264	7929406	79.49865774557401	7924774	79.45221822883373
SRR1930255	7186750	5939363	82.64323929453509	5928602	82.4935054092601
SRR1930777	3135074	1979955	63.15496859085303	1976486	63.04431729522174
SRR1931170	16744111	14838349	88.61831482125268	14831410	88.57687338551446
SRR1931173	23917309	19785157	82.72317341386525	19645885	82.14086710172954
SRR1931177	3230706	1906872	59.02338374336755	1901936	58.870599800786586
SRR1931178	3801021	2367019	62.27324184738785	2361075	62.116862811334116
