Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR5127392	22094031	17717274	80.19031927673134	17716421	80.18645850546693
SRR5127393	19708291	12861218	65.2579059239586	12860902	65.2563025378507
SRR5127394	20336754	16370363	80.49644009068507	16369744	80.4933963404386
SRR5127395	17620008	13568091	77.00388671787209	13567954	77.00310919268595
SRR5127396	11896444	7136947	59.99227164016408	7136806	59.99108641204044
SRR5127397	19272320	14890134	77.26176194666755	14888544	77.25351177232425
SRR5127398	9329347	6090522	65.28347589600858	6090389	65.28205028712084
SRR5127399	10621787	8287680	78.02528896503009	8287241	78.02115595050061
SRR5127400	12447770	9598118	77.10712842541274	9597316	77.10068550431122
SRR5127401	13371265	9886579	73.9389953007438	9886552	73.93879337519674
SRR5127402	16915278	11150782	65.92136410646044	11150502	65.91970879816459
SRR5127403	14457023	8342600	57.706209639425765	8342186	57.70334597932092
SRR5127404	11276268	8644864	76.66422969017763	8644630	76.6621545355254
SRR5127405	14696361	11568228	78.71491452884153	11567328	78.70879056386816
SRR5127406	14838499	11732677	79.06916326240275	11732014	79.06469515548709
SRR5127407	14705498	9441164	64.20159317283917	9440643	64.19805028024213
SRR5127408	11325186	7355076	64.94441680692927	7354804	64.94201508037042
SRR5127409	12144417	7527026	61.979311151782746	7526970	61.97885003454674
SRR5127410	13864823	11495653	82.91236750732412	11495503	82.91128563271238
SRR5127411	14093164	10996020	78.02378514860112	10991459	77.99142194045284
SRR5127412	15836215	12127874	76.58316081210062	12126779	76.57624628107158
SRR5127413	13724666	10394276	75.73427287775164	10393502	75.7286333962517
SRR5127414	17230812	12711848	73.7739347396977	12701428	73.71346167551476
SRR5127415	14446839	11250119	77.872529762393	11249860	77.87073698267143
SRR5127416	12370869	9384952	75.86332051531707	9383171	75.84892379023657
SRR5127417	16565459	12471924	75.28873181238141	12471764	75.28776594720375
SRR5127418	15314164	11767799	76.8425818085793	11764175	76.81891744139608
SRR5127419	15470425	10114665	65.38065373123233	10114523	65.37973585082504
SRR5127420	19591174	15314961	78.17275779389229	15314463	78.17021583290517
SRR5127421	13698680	10908679	79.63306683563673	10907973	79.62791305439649
SRR5127422	29970764	23799277	79.4083093777656	23797236	79.40149940788963
SRR5127423	13803991	10945899	79.29517630082489	10945786	79.29435769698777
SRR5127424	14186180	11261000	79.38007271865999	11260911	79.37944534751426
SRR5127425	11702929	7131617	60.93873593525176	7131377	60.93668516659376
SRR5127426	13518770	10392961	76.8780073926844	10392559	76.87503374937216
SRR5127427	12446456	8079680	64.91550687199633	8078956	64.90968995511655
SRR5127428	15735919	12328247	78.34462671039422	12328120	78.343819639641
SRR5127429	15731575	12173292	77.3812666563901	12173222	77.38082169140725
SRR5127430	10858623	7146435	65.81345535248806	7146335	65.8125344254055
SRR5127431	12190726	9658301	79.22662686373232	9658241	79.2261346863181
SRR5127432	13651008	10543539	77.236340349372	10543303	77.23461153930904
SRR5127433	12673483	9640779	76.07047723187067	9640097	76.06509591719971
SRR5127434	10524271	7994706	75.9644634768527	7994545	75.96293367968194
SRR5127435	23610511	13926282	58.983399385129786	13918541	58.95061314005444
SRR5127436	11331253	7374204	65.07845160636693	7372467	65.06312232195327
SRR5127437	22988121	13703974	59.613284617738	13703332	59.610491870997194
SRR5127438	12761482	8755228	68.60667123144475	8755129	68.6058954594772
SRR5127439	17714816	13878193	78.34229268878661	13729811	77.50467744062371
SRR5127440	11056595	7219719	65.29785164419968	7219497	65.29584379277708
SRR5127441	16626371	12470356	75.00347490140813	12470239	75.00277120004118
SRR5127442	12212223	9494487	77.74577159293602	9491756	77.72340875203474
SRR5127443	16653681	12601199	75.66614852296017	12600810	75.66381270302944
SRR5127444	14746183	11331755	76.8453436390963	11330981	76.84009482318238
SRR5127445	13594791	10565745	77.71906901694922	10565574	77.71781118223885
SRR5127446	15537692	12244569	78.80558451023485	12238788	78.7683782121566
SRR5127447	12475616	7338831	58.82539988406184	7338508	58.82281083354922
SRR5127448	15817403	12277747	77.62176256114863	12266664	77.5516941687583
SRR5127449	14949311	9922475	66.37412921572104	9918186	66.3454389302624
SRR5127450	11166175	7332142	65.66386430447311	7331800	65.66080148305036
SRR5127451	15854262	12400549	78.2158702814423	12400448	78.21523322876838
SRR5127452	10362919	7268649	70.14094194888526	7265601	70.11152938665255
SRR5127453	19843937	14903378	75.1029294237328	14903018	75.10111526760038
SRR5127454	13138969	7944767	60.46720256361059	7944118	60.462263058844265
SRR5127455	14777110	11389817	77.07743259676622	11388721	77.07001572025925
SRR5127456	17540300	13356266	76.14616625713357	13352435	76.12432512556798
SRR5127457	13758568	10957274	79.63963982298158	10955364	79.62575756430465
SRR5127458	14696638	11168925	75.99646259232894	11168687	75.99484317433688
SRR5127459	12225028	9446978	77.27571666911518	9446394	77.27093958394205
SRR5127460	18206454	13845418	76.04675792441515	13845321	76.04622514631349
SRR5127461	12281994	7002611	57.01526152838049	6998919	56.98520126292197
SRR5127462	14892982	8675302	58.25093993936205	8675264	58.25068478562587
SRR5127463	18657133	14411626	77.24459058098584	14411388	77.24331492946959
SRR5127464	19034454	15268686	80.21604402206651	15268543	80.2152927528155
SRR5127465	13594933	10236450	75.29606802769825	10236391	75.29563404247745
SRR5127466	17258358	13661821	79.16060728372885	13661774	79.16033495191141
SRR5127467	20739957	16428002	79.2094313406725	16425540	79.19756053496158
SRR5127468	17202562	10192022	59.24711679574241	10191382	59.243396419672834
SRR5127469	12232001	9721530	79.47620344373746	9721136	79.47298238448475
SRR5127470	14323605	8430087	58.854506250346894	8428412	58.842812266883925
SRR5127471	11731313	9226115	78.64520365282215	9224228	78.62911849679571
SRR5127472	12785498	9858655	77.10810325886406	9858518	77.10703173235802
SRR5127473	15795560	12319217	77.99164448743824	12318357	77.98619991947105
SRR5127474	11597631	6874279	59.27313086612257	6873962	59.27039754929261
SRR5127475	14017460	10707500	76.38687750847872	10707453	76.38654221235515
SRR5127476	15025719	10048666	66.87644032209042	10048093	66.8726268606514
SRR5127477	14367424	10175287	70.82193022214699	10174953	70.81960551870677
SRR5127478	14282239	10530241	73.72962320543719	10527888	73.71314819756202
SRR5127479	12354322	9572547	77.48338597617902	9571823	77.47752567886769
SRR5127480	19641081	14164705	72.11774647230466	14164106	72.11469674199704
SRR5127481	12600171	8400259	66.66781744469976	8399738	66.66368258018086
SRR5127482	16120793	12175878	75.5290263946693	12175728	75.52809591935087
SRR5127483	10049949	6189402	61.58640208024936	6189191	61.58430256710755
SRR5127484	14454314	11198926	77.47808716484228	11198135	77.47261475017078
SRR5127485	12115888	7677635	63.368322652041684	7677453	63.36682049223301
SRR5127486	13837504	10433936	75.40330972984724	10433247	75.39833050816101
SRR5127487	13550485	8201196	60.52326540341545	8200947	60.52142783081196
SRR5127488	12109109	9593560	79.2259777329612	9593476	79.22528404030388
SRR5127489	15167852	11173631	73.66653498465044	11172456	73.65878833733346
SRR5127490	19090319	14688896	76.94421449950627	14650924	76.74530739900156
SRR5127491	13668860	10514295	76.9215208876234	10514005	76.91939927689654
SRR5127492	10610433	6393260	60.254468408593695	6392380	60.246174684859696
SRR5127493	10852068	6368657	58.68611401992689	6368592	58.68551505574789
SRR5127494	11659411	8558636	73.40538900292648	8555367	73.37735156604394
SRR5127495	14944078	11590956	77.56220223154617	11590680	77.56035534611101
SRR5127496	14831364	11435282	77.102025140776	11434863	77.09920004660394
SRR5127497	13402997	9825265	73.30647764824539	9825213	73.30608967531664
SRR5127498	12642701	9273824	73.353186158559	9273773	73.35278276374645
