Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR3992955	39188381	31880016	81.35068402034776	31853992	81.28427658187768
SRR3992956	21799550	20576936	94.39156312859669	20544240	94.24157838120512
SRR3992957	17391344	16485901	94.79371462033066	16485190	94.78962637965186
SRR3992958	27134710	24736778	91.16286114721697	24717027	91.0900724570117
SRR3992959	32324322	30899784	95.59298413126808	30878876	95.52830218681771
SRR3992960	20110374	18763808	93.30412253894433	18715709	93.06494747437317
SRR3992961	41273138	37824519	91.64439834935739	37815143	91.62168139480939
SRR3992962	32830593	30223371	92.058559527085	30218571	92.04393901748897
SRR3992963	22077135	20632568	93.45672796764617	20619684	93.39836894597056
SRR3992964	16223873	13347206	82.26892555187038	13327476	82.14731463935892
SRR3992965	44043054	41882138	95.09362815757508	41875603	95.07879040359009
SRR3992966	21692271	19914569	91.8049059962417	19888786	91.68604799377621
SRR3992967	31422319	27794626	88.45504369044181	27781737	88.41402507561584
SRR3992968	21869218	19704389	90.10102235937289	19702593	90.09280990294212
SRR3992969	53915547	50985427	94.5653523648754	50976253	94.5483368646895
SRR3992970	20752374	18410592	88.71559465919418	18409342	88.70957125194448
SRR3992971	31012295	28727486	92.63257040473786	28712879	92.58546973063424
SRR3992972	21336162	20375127	95.49574567347211	20231873	94.82433157378539
SRR3992973	65127308	61306343	94.1330831607534	61240970	94.03270591193483
SRR3992974	19234618	16009951	83.23508686265566	16004927	83.20896729012243
SRR3992975	18630191	17159832	92.10765472023341	17114041	91.8618655063708
SRR3992976	18546684	15195057	81.92869949151019	15169969	81.79343002770739
SRR3992977	18146994	17136106	94.42944655186419	17132936	94.41197809400279
SRR3992978	31969735	30231504	94.56288580433963	30227457	94.55022695683903
SRR3992979	21272603	20100029	94.48786779878326	20041650	94.21343499899848
SRR3992980	25477311	22358661	87.75910848676298	22342826	87.69695514569807
SRR3992981	29284343	28353587	96.82165995665328	28335002	96.7581960093829
SRR3992982	17809628	16869755	94.72266910909089	16866162	94.7024946281865
SRR3992983	19815069	18731611	94.53215126326333	18713087	94.43866685500818
SRR3992984	25142336	22455579	89.31381316358194	22449192	89.28840979613032
SRR3992985	55223016	48838594	88.43883861757931	48800848	88.37048668258177
SRR3992986	23204216	21272276	91.6741854152711	21262769	91.6332144124154
SRR3992987	90778942	68953686	75.95779867097372	68581465	75.54776855628037
SRR3992988	22123833	20857364	94.27554438690619	20856679	94.27244817839657
SRR3992989	21182882	19673395	92.87402441273099	19658747	92.80487423760374
SRR3992990	33696837	25657176	76.14119984021053	25652945	76.12864376558548
SRR3992991	96803719	88860674	91.79469024325398	88663184	91.59067948618792
SRR3992992	16478448	15034875	91.23963009137753	14998158	91.01681177741982
SRR3992993	36018140	30173967	83.77436202979943	30093166	83.55002784707928
SRR3992994	20164903	18634682	92.41146362072756	18623987	92.35842592448871
SRR3992995	38903784	35809905	92.04735714140301	35805232	92.03534545637
SRR3992996	18716894	17459315	93.2810486611721	17450175	93.23221577255286
SRR3992997	35424188	30985408	87.46963515437531	30976344	87.44404811763081
SRR3992998	34434564	31398376	91.18273139744124	31394563	91.17165822108275
SRR3992999	42976220	39276366	91.39092735470918	39236180	91.29741982891935
SRR3993000	28039346	26638392	95.0036138503373	26630260	94.97461174736387
SRR3993001	28746781	27434593	95.43535674481257	27420755	95.38721918116676
SRR3993002	30266148	29108185	96.17406549389767	29083804	96.09351014869814
SRR3993003	26357085	24580304	93.25881067652209	24570682	93.22230436332394
SRR3993004	24786446	23084564	93.133819991781	23083744	93.13051173209746
