Sample	input_raw_reads	fastp	bowtie
SRR5155753	8281651	7733896	7730471
SRR5155843	5805064	4668971	4668698
SRR5156049	10841773	9713691	9713284
SRR5156094	14067049	12405590	12404693
SRR5156153	11765207	10646386	10646108
SRR5164116	6733305	6340860	6340009
SRR5165628	12517208	11463131	11462987
SRR5165708	6220137	5927936	5927627
SRR5165715	6501073	5588049	5584644
SRR5165805	7569890	6697753	6697645
SRR5165809	9849335	8922094	8921933
SRR5165828	9060987	8490244	8489878
SRR5165857	12681187	11179942	11179483
SRR5165875	9644805	8933369	8930658
SRR5165922	8207222	7306418	7306114
SRR5165965	8406946	7801739	7801676
SRR6028163	19447521	14234075	14231413
SRR6028164	8222456	6168190	6167858
SRR6028165	17641923	11753650	11750745
SRR6028166	12770438	9139463	9137318
SRR6028167	16810718	12602124	12601233
SRR6028168	10384206	7675825	7675508
SRR6028169	18481922	12696471	12695540
SRR6028170	12193809	8464966	8463210
SRR6028171	8763638	6170665	6165577
SRR6028172	12874609	9487030	9480263
SRR6028173	14870810	10710236	10709567
SRR6028174	14591374	10681302	10680198
SRR6028175	9753080	7530200	7529028
SRR6028176	8400650	5718921	5718771
SRR6028177	13077834	9866747	9866564
SRR6028178	5145410	3099558	3099117
SRR6028179	11222683	8398558	8395256
SRR6028180	9206777	6485626	6485344
SRR6028181	15562422	11143983	11143397
SRR6028182	7085785	5049754	5049269
SRR6028183	11818178	8549953	8549832
SRR6028184	9816758	6322622	6322045
SRR6028185	14421381	10221866	10216193
SRR6028186	15126396	9972067	9967501
SRR6028187	12028357	8839850	8838943
SRR6028188	10623302	7785571	7784696
SRR6028189	10505513	6817419	6814850
SRR6028190	14072955	9559424	9558844
SRR6028191	13377464	9733694	9732484
SRR6028192	10536194	7770139	7769460
SRR6028193	15254730	8909173	8902759
SRR6028194	11420238	8252108	8251439
SRR6028195	5013102	2873587	2865765
SRR6028196	9415743	6561465	6516505
SRR6028197	15205993	9918387	9904418
SRR6028198	9554624	7154105	7085359
SRR6028199	9866119	7081033	7079990
SRR6028200	24262157	15341376	15267047
