Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR5155753	8281651	7733896	93.38592027121162	7730471	93.34456378323598
SRR5155843	5805064	4668971	80.42927692097796	4668698	80.42457413044886
SRR5156049	10841773	9713691	89.59504132765001	9713284	89.5912873291112
SRR5156094	14067049	12405590	88.18900111885584	12404693	88.18262451492136
SRR5156153	11765207	10646386	90.49042656028067	10646108	90.48806366092836
SRR5164116	6733305	6340860	94.17158438537983	6340009	94.15894571833594
SRR5165628	12517208	11463131	91.57897671749163	11462987	91.57782630120072
SRR5165708	6220137	5927936	95.30233819608796	5927627	95.29737045984679
SRR5165715	6501073	5588049	85.95579529717632	5584644	85.90341932785557
SRR5165805	7569890	6697753	88.47886825303934	6697645	88.47744154802778
SRR5165809	9849335	8922094	90.58575020547073	8921933	90.58411557734608
SRR5165828	9060987	8490244	93.7010945937788	8489878	93.69705529872188
SRR5165857	12681187	11179942	88.16163660389205	11179483	88.15801706890689
SRR5165875	9644805	8933369	92.62363521087259	8930658	92.59552681469454
SRR5165922	8207222	7306418	89.02425205508027	7306114	89.0205480002856
SRR5165965	8406946	7801739	92.80110756034355	7801676	92.80035818000972
SRR6028163	19447521	14234075	73.19223360139321	14231413	73.17854548145236
SRR6028164	8222456	6168190	75.01639412846964	6167858	75.0123564054341
SRR6028165	17641923	11753650	66.62340607653712	11750745	66.60693961763691
SRR6028166	12770438	9139463	71.56734169963474	9137318	71.55054509485109
SRR6028167	16810718	12602124	74.96481708871686	12601233	74.95951689868333
SRR6028168	10384206	7675825	73.91826587415542	7675508	73.9152131612181
SRR6028169	18481922	12696471	68.69670264813368	12695540	68.69166529325251
SRR6028170	12193809	8464966	69.42019511704669	8463210	69.4057943666331
SRR6028171	8763638	6170665	70.41213934213167	6165577	70.35408126168608
SRR6028172	12874609	9487030	73.68790772597443	9480263	73.63534690645751
SRR6028173	14870810	10710236	72.0218737244306	10709567	72.01737497822917
SRR6028174	14591374	10681302	73.20285258948198	10680198	73.19528647542035
SRR6028175	9753080	7530200	77.20843056757455	7529028	77.19641385080406
SRR6028176	8400650	5718921	68.07712498437621	5718771	68.07533940826008
SRR6028177	13077834	9866747	75.4463392026539	9866564	75.44493988836378
SRR6028178	5145410	3099558	60.23928122345935	3099117	60.23071047788223
SRR6028179	11222683	8398558	74.83556293980682	8395256	74.80614038550318
SRR6028180	9206777	6485626	70.44404355617606	6485344	70.44098059505515
SRR6028181	15562422	11143983	71.60828179572563	11143397	71.60451631500547
SRR6028182	7085785	5049754	71.26597829316019	5049269	71.25913360340456
SRR6028183	11818178	8549953	72.345779527098	8549832	72.34475568061337
SRR6028184	9816758	6322622	64.40641604896443	6322045	64.40053834473662
SRR6028185	14421381	10221866	70.87993861336858	10216193	70.84060118791675
SRR6028186	15126396	9972067	65.92493677938882	9967501	65.89475113569682
SRR6028187	12028357	8839850	73.49174953819545	8838943	73.4842090237262
SRR6028188	10623302	7785571	73.28767458554788	7784696	73.27943797512299
SRR6028189	10505513	6817419	64.89372770277853	6814850	64.86927387553564
SRR6028190	14072955	9559424	67.92762429781094	9558844	67.9235029174754
SRR6028191	13377464	9733694	72.76187773706586	9732484	72.75283267441422
SRR6028192	10536194	7770139	73.74711399581291	7769460	73.74066954348031
SRR6028193	15254730	8909173	58.40269214859916	8902759	58.36064617335083
SRR6028194	11420238	8252108	72.2586341895852	8251439	72.25277616806235
SRR6028195	5013102	2873587	57.32153465060157	2865765	57.16550351459036
SRR6028196	9415743	6561465	69.68610974195026	6516505	69.20861157744004
