Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR5898908	5327757	4432247	83.19161328116128	4430468	83.15822211861389
SRR5898909	3085552	2572578	83.37496823907034	2569876	83.28739881875269
SRR5898910	8759551	7092734	80.97143335314789	7079798	80.82375455088965
SRR5898911	5135983	4330500	84.31686787125268	3696764	71.97773045588352
SRR5898912	4052739	3405384	84.0267285902201	3402619	83.95850312591064
SRR5898913	5137490	4284298	83.39282412228539	4283847	83.3840455163903
SRR5898914	6275464	5264934	83.89712696941612	5260740	83.83029525784866
SRR5898915	7065921	5938601	84.0456750082544	5933594	83.97481375747054
SRR5898916	5966065	5018979	84.12544952158584	5015037	84.05937581974048
SRR5898917	5301366	4560547	86.02588464935263	4556334	85.94641456560441
SRR5898918	2715208	2290801	84.36926379120862	2262950	83.34352285349777
SRR5898919	3401237	2964431	87.15743713243153	2962915	87.11286511348665
SRR5898920	4635661	3878406	83.664573401722	3877916	83.65400317236312
SRR5898921	6489812	5447768	83.94338695789646	5447261	83.93557471310416
SRR5898922	6572595	5448382	82.89544692773553	5446409	82.86542834299085
SRR5898923	8466086	6875647	81.2139990073335	6875144	81.20805765497775
SRR5898924	6177888	5148481	83.33723434286928	5147280	83.31779404223579
SRR5898925	5092908	4279273	84.0241567293185	4278781	84.01449623672762
SRR5898926	2976229	2492832	83.75807103552852	2492649	83.75192231511755
SRR5898927	3257390	2824779	86.7190910514246	2824033	86.69618928037478
SRR5898928	2722752	2295946	84.32446289636368	2293102	84.22000975483628
SRR5898929	3510167	2881555	82.09167825918254	2831802	80.6742813091229
SRR5898930	4407879	3791804	86.02332323550624	3788779	85.95469612482557
SRR5898931	3129026	2555498	81.67071798061122	2453077	78.39746298049297
SRR5898932	6439227	5301387	82.32955601658398	5282232	82.0320824223156
SRR5898933	3021698	2606505	86.25961297257369	2559831	84.71498475360542
SRR5898934	4264527	3521573	82.57827890408478	3514405	82.41019461243884
SRR5898935	4612811	3776779	81.87586701471186	3688444	79.96087418279222
SRR5898936	3176530	2585642	81.39831829071346	2574901	81.06018202252143
SRR5898937	5525192	4515664	81.72863495060443	4512492	81.67122518095299
SRR5898938	4722840	3886190	82.28502341811283	3438419	72.80405434018515
SRR5898939	4755885	3944886	82.94746403666194	3937496	82.79207760490424
SRR5898940	3746717	3097503	82.67245698033771	3097012	82.65935217418343
SRR5898941	5415917	4553141	84.06962292812095	4548036	83.9753637288016
SRR5898942	5075856	4189639	82.540540945212	4188704	82.52212040688309
SRR5898943	3168885	2592571	81.81335075270954	2591699	81.78583318738293
SRR5898944	4852758	4055916	83.57960565929726	4052500	83.50921269925267
SRR5898945	3984549	3342073	83.87581630944932	3224069	80.91427662202172
SRR5898946	5500739	4715035	85.7163919247941	4714519	85.70701136701814
SRR5898947	5298840	4487478	84.6879316982585	4487195	84.68259090668901
SRR5898948	3688177	3136683	85.0469757823445	3136168	85.0330122442605
SRR5898949	4945396	4309901	87.14976515530809	4283264	86.61114297014839
SRR5898950	2358961	1961955	83.1703025187784	1946570	82.51810860798462
SRR5898951	3799622	3268305	86.01658270217406	3266927	85.98031593669054
SRR5898952	2877527	2495452	86.72210547459677	2492364	86.61479110361084
SRR5898953	5949657	5178721	87.04234546630167	5177683	87.02489908241769
SRR5898954	2623761	2244839	85.55805959460484	2242661	85.4750489850257
SRR5898955	3422843	2952025	86.24482630374808	2951230	86.22159999742904
SRR5898956	6194300	5097911	82.30003390213584	5094373	82.24291687519171
SRR5898957	3932652	3413435	86.79728081711782	3411767	86.75486669046741
SRR5898958	4760294	4161169	87.41411769945302	4158744	87.36317546773371
SRR5898959	2411209	2024788	83.9739732225618	2024688	83.96982592550044
SRR5898960	3812459	3146014	82.51928742053357	3145477	82.50520202315619
SRR5898961	6230116	5308579	85.20834925063996	5307244	85.18692107819501
SRR5898962	3387844	2900698	85.62076648157353	2900264	85.6079559743601
SRR5898963	3689014	3190555	86.4880154968238	3190366	86.4828921766087
SRR5898964	3637856	3140966	86.34113060000176	3140915	86.33972867535164
SRR5898965	3961443	3440552	86.85097829250604	3421253	86.3638073298038
