Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR6897667	10363504	9537479	92.02948153443083	9533517	91.99125122159455
SRR6897668	13834808	12955555	93.64463171444085	12951760	93.61720090369161
SRR6897669	9262230	8494008	91.70586349075762	8492747	91.69224905881197
SRR6897670	5828493	5415223	92.90948792423703	5415070	92.90686288891486
SRR6897671	8924743	8234931	92.27079143903639	8234206	92.26266795581677
SRR6897672	8843381	8151932	92.18116917047902	8151459	92.17582053741663
SRR6897673	11846809	10983281	92.71088104822151	10982381	92.7032840657767
SRR6897674	11268641	10450943	92.74359703179825	10438324	92.63161369680691
SRR6897675	9567687	8854281	92.54358968891854	8853816	92.538729580096
SRR6897676	10278706	9498779	92.41220636138439	9498079	92.4053961656263
SRR6897688	13714863	12858398	93.75520557514866	12855610	93.73487726417683
SRR6897697	7179552	6609620	92.06173309978115	6608748	92.04958749515289
SRR6897698	6186248	5767482	93.23069492202704	5766355	93.2124770943551
SRR6897699	7815304	7227870	92.48354254677746	7227139	92.47418910384036
SRR6897700	8544099	7901580	92.47996775318263	7899695	92.45790574289929
SRR6897701	7412898	6823945	92.05502355489041	6823010	92.04241040413615
