Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR7658579	38082008	35115691	92.2107127334252	35115622	92.21053154550044
SRR7658580	39445596	37109894	94.07867484116605	37109884	94.07864948979349
SRR7658581	36154979	34575619	95.63169432348447	34575592	95.63161964497337
SRR7658582	38157342	36378818	95.33897303433766	36378543	95.33825233424278
SRR7658583	38319560	36605997	95.52822892538431	36605985	95.52819760978466
SRR7658584	38276338	36907968	96.42502373137158	36907953	96.42498454266968
SRR7658585	34048045	32773490	96.25659858003594	32773480	96.25656920977401
SRR7658586	33856520	31222920	92.2212914971769	31222914	92.22127377533191
SRR7658587	34896873	33151288	94.9978755976216	33151280	94.99785267293147
SRR7658588	35161137	32380553	92.09188258047514	32380547	92.09186551618055
SRR7658589	12737252	12336591	96.85441569343214	12336581	96.85433718356205
SRR7658590	11467136	10392080	90.62489535312042	10392074	90.62484302968065
SRR7658591	12946384	12187858	94.14102038067155	12187854	94.14098948401345
SRR7658592	12784385	12008255	93.92907832484707	12008246	93.92900792646654
SRR7658593	13256681	12874601	97.11783062442251	12874600	97.11782308105626
SRR7658594	13016533	12294488	94.45286237126275	12294476	94.45277018081542
SRR7658595	14775993	13985610	94.6508975741935	13985581	94.65070130988828
SRR7658596	14101961	13435099	95.27113994996867	13435084	95.27103358178341
SRR7658597	15395237	14433950	93.75594542649782	14433949	93.75593893098235
SRR7658598	15470471	14694440	94.9837920254658	14694419	94.98365628299229
SRR7658599	9133343	8801546	96.36718997633179	8801517	96.36687245841966
SRR7658600	9175227	8836238	96.30538841164366	8836235	96.30535571490493
SRR7658601	8360663	7685562	91.92526956295212	7685560	91.92524564140427
SRR7658602	8774535	8445374	96.24867870491143	8445348	96.24838239291313
SRR7658603	10597809	10058497	94.91109907717717	10058487	94.91100471805069
SRR7658604	10811947	9434225	87.25741071427746	9434184	87.2570315041315
SRR7658605	9651754	9188778	95.20319311909525	9188778	95.20319311909525
SRR7658606	10031255	9645792	96.15738010847097	9645773	96.15719070046569
SRR7658607	11263694	10757091	95.50233697754929	10757090	95.50232809946719
SRR7658608	11575153	10968610	94.75995695262084	10968398	94.75812544335267
SRR7658609	1472825	1356527	92.10374620202671	1354577	91.97134758033032
SRR7658610	341234	321952	94.3493321298581	321952	94.3493321298581
SRR7658611	2663703	2564381	96.27128099491571	2564377	96.271130828024
SRR7658612	2580289	2416977	93.67078648942037	2416973	93.67063146802548
SRR7658613	3125525	2854328	91.32315371017668	2854305	91.32241783380393
SRR7658614	2906797	2750722	94.6306880047007	2750713	94.63037838555634
SRR7658615	4514534	4278571	94.7732589897429	4278440	94.77035725060439
SRR7658616	3877780	3675986	94.79614624862678	3675986	94.79614624862678
SRR7658617	5156257	4975656	96.49743990650582	4975655	96.49742051259275
SRR7658618	4542632	4350870	95.77861468857702	4350869	95.77859267490742
SRR7658619	23369695	22482329	96.20292006378347	22482325	96.20290294759944
SRR7658620	22787000	21972872	96.42722604994076	21972863	96.42718655373677
SRR7658621	22068781	20696939	93.78378896414804	20696934	93.78376630770862
SRR7658622	21559856	20396834	94.60561332135057	20396828	94.60558549185116
SRR7658623	21128122	20045630	94.87653469626879	20045628	94.87652523021212
SRR7658624	20571555	19900242	96.73669297240778	19900229	96.73662977835171
SRR7658625	19580296	18482432	94.39301632620875	18482431	94.39301121903367
SRR7658626	19318367	18623310	96.40209237147218	18623304	96.40206131294637
SRR7658627	25300934	24316544	96.10927406869644	24316519	96.10917525811497
SRR7658628	24896740	23611524	94.83781410738916	23611524	94.83781410738916
SRR7658629	15681772	15035689	95.88003830179396	15035686	95.88001917130283
SRR7658630	15826184	14989634	94.71413955505635	14989633	94.71413323641377
SRR7658631	16700319	16103681	96.4273856086222	16103675	96.42734968116477
SRR7658632	17034367	16067362	94.32321142311892	16067334	94.32304704953228
SRR7658633	17745245	16878184	95.11384035554313	16878089	95.11330500086079
SRR7658634	17889615	16795520	93.88418923492765	16795518	93.8841780552572
SRR7658635	18353882	17395371	94.77761162461434	17395365	94.77757893398247
SRR7658636	18473587	17548649	94.99318675901979	17548645	94.99316510648418
SRR7658637	18649073	17815226	95.52874826539636	17815200	95.52860884827895
SRR7658638	18989444	17649478	92.94362699613534	17649478	92.94362699613534
SRR7658639	61290785	57570425	93.92998474403615	57570420	93.92997658620297
