Sample	input_raw_reads	fastp	bowtie
SRR9224004	6497488	6054150	6054146
SRR9224005	4271000	3884309	3884308
SRR9224006	6059953	5555239	5555238
SRR9224007	26853104	23929534	23929529
SRR9224008	28635977	25137485	25137480
SRR9224009	8040014	7293890	7293886
SRR9224010	17104470	15189173	15189141
SRR9224011	23504959	21223822	21223812
SRR9224012	25502798	23139073	23139065
SRR9224013	16225247	14455546	14455530
SRR9224014	20356483	18327748	18327747
SRR9224015	20468183	18493291	18493291
SRR9224016	16861886	15026698	15026696
SRR9224017	8209892	7470454	7470454
SRR9224018	7946784	7241897	7241895
SRR9224019	5156124	4610112	4610104
SRR9224020	8509580	7924061	7924060
SRR9224021	5579026	5170710	5170706
SRR9224022	5750156	5297837	5297831
SRR9224023	6150578	5689219	5689219
SRR9224024	6761192	6279463	6279459
SRR9224025	8998342	8102519	8102514
SRR9224026	9983954	9295159	9295155
SRR9224027	18495511	16938616	16938616
SRR9224028	22195762	20152308	20152306
SRR9224029	32199520	28143715	28143707
SRR9224030	28700293	24920663	24920657
SRR9224031	28832509	25466780	25466779
SRR9224032	20823403	18046905	18046890
SRR9224033	24997947	22069141	22069140
SRR9224034	24704818	22425431	22425428
SRR9224035	10018922	9214708	9214702
SRR9224036	24612431	22315863	22315847
SRR9224037	5661835	5027604	5027577
SRR9224038	7975338	7624044	7624039
SRR9224039	7690081	7405671	7405670
SRR9224040	5906971	5695176	5695173
SRR9224041	7679898	7392211	7392210
SRR9224042	7658959	7326560	7326558
SRR9224043	6496025	6254618	6254615
SRR9224044	10280914	9890391	9890388
SRR9224045	15501741	14810497	14810496
SRR9224046	10986235	10469274	10469272
SRR9224047	12033195	11543913	11543912
SRR9224048	5925080	5704973	5704970
SRR9224049	8480921	8170942	8170940
SRR9224050	17826923	15801851	15801758
SRR9224051	11697002	11213115	11213112
SRR9224052	7723951	7404454	7404452
SRR9224053	9270126	8076104	8076101
SRR9224054	11306270	9628712	9628709
SRR9224055	6957766	6684425	6684425
SRR9224056	10027103	9660244	9660243
SRR9224057	9845512	9436371	9436370
SRR9224058	11322002	10901472	10901465
SRR9224059	10446796	10031894	10031892
SRR9224060	9877739	9522846	9522838
SRR9224061	8169147	7247414	7247408
SRR9224062	6280019	5498507	5498506
SRR9224063	8500001	7544243	7544243
SRR9224064	5170589	4549830	4549829
SRR9224065	6981643	6429381	6429379
SRR9224066	6283533	5732526	5732524
SRR9224067	7987126	7432084	7432082
SRR9224068	6129289	5573705	5573700
SRR9224069	10797921	9950289	9950283
SRR9224070	9958578	9125992	9125987
SRR9224071	11125888	10210720	10210716
SRR9224072	8729745	7891961	7891958
SRR9224073	9360884	8664149	8664145
SRR9224074	9459705	8761389	8761385
SRR9224075	25547619	22330435	22330431
SRR9224076	32574126	28494250	28494246
SRR9224077	4261867	3645884	3645882
SRR9224078	4452293	3939848	3939848
SRR9224079	14410443	12964697	12964687
SRR9224080	16550287	14825900	14825898
SRR9224081	4900575	4083946	4083946
SRR9224082	4908536	4336110	4336106
SRR9224083	13099945	11319896	11319894
SRR9224084	5810606	5077709	5077706
SRR9224085	4889637	3893550	3893548
SRR9224086	8301174	6848898	6848897
SRR9224087	5133459	4505514	4505498
SRR9224088	4338031	3650702	3650701
SRR9224089	6511383	6230525	6230524
SRR9224090	7378998	7105999	7105999
SRR9224091	8714505	8365890	8365890
SRR9224092	12489472	10441235	10441235
SRR9224093	6370155	6134196	6134193
SRR9224094	10452133	10008495	10008495
SRR9224095	10013225	9607436	9607436
SRR9224096	6518269	6239431	6239429
SRR9224097	7697633	6607900	6607894
SRR9224098	8271052	7492916	7492916
SRR9224099	9399217	8707104	8707104
SRR9224100	6913324	6415448	6415448
SRR9224101	9902841	9191981	9191977
SRR9224102	9138290	8412161	8412155
SRR9224103	3479283	3276316	3276315
SRR9224104	7205075	6515311	6515310
SRR9224105	6889005	6413065	6413065
SRR9224106	10080909	9182979	9182977
SRR9224107	4926967	4632342	4632342
SRR9224108	6218013	5823121	5823118
SRR9224109	9127785	8374245	8374243
