Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR9224004	6497488	6054150	93.17677847192638	6054146	93.1767169096734
SRR9224005	4271000	3884309	90.94612502926715	3884308	90.94610161554671
SRR9224006	6059953	5555239	91.67132154325289	5555238	91.67130504147475
SRR9224007	26853104	23929534	89.11272976114792	23929529	89.11271114132653
SRR9224008	28635977	25137485	87.78287885899616	25137480	87.78286139844295
SRR9224009	8040014	7293890	90.7198669057044	7293886	90.71981715454724
SRR9224010	17104470	15189173	88.80235985096293	15189141	88.80217276536484
SRR9224011	23504959	21223822	90.29508198674161	21223812	90.29503944252785
SRR9224012	25502798	23139073	90.73150718599582	23139065	90.73147581688879
SRR9224013	16225247	14455546	89.09291796913786	14455530	89.0928193573879
SRR9224014	20356483	18327748	90.03396117099402	18327747	90.0339562585541
SRR9224015	20468183	18493291	90.35140539831991	18493291	90.35140539831991
SRR9224016	16861886	15026698	89.11635388828984	15026696	89.11634202722044
SRR9224017	8209892	7470454	90.99332853586868	7470454	90.99332853586868
SRR9224018	7946784	7241897	91.12990865235547	7241895	91.12988348494183
SRR9224019	5156124	4610112	89.41041759274991	4610104	89.41026243744332
SRR9224020	8509580	7924061	93.11929613447431	7924060	93.11928438301302
SRR9224021	5579026	5170710	92.68123145509628	5170706	92.6811597579936
SRR9224022	5750156	5297837	92.13379602222965	5297831	92.1336916772345
SRR9224023	6150578	5689219	92.49893262064151	5689219	92.49893262064151
SRR9224024	6761192	6279463	92.87508770642809	6279459	92.87502854526242
SRR9224025	8998342	8102519	90.0445771009815	8102514	90.04452153518947
SRR9224026	9983954	9295159	93.1009798322388	9295155	93.10093976795166
SRR9224027	18495511	16938616	91.58230880995934	16938616	91.58230880995934
SRR9224028	22195762	20152308	90.79349472210055	20152306	90.79348571137139
SRR9224029	32199520	28143715	87.40414453383156	28143707	87.4041196887407
SRR9224030	28700293	24920663	86.83069193753528	24920657	86.83067103182536
SRR9224031	28832509	25466780	88.3266177078103	25466779	88.32661423950306
SRR9224032	20823403	18046905	86.6664540853385	18046890	86.6663820510029
SRR9224033	24997947	22069141	88.28381386679473	22069140	88.28380986646623
SRR9224034	24704818	22425431	90.77351227602648	22425428	90.77350013264619
SRR9224035	10018922	9214708	91.97304859744392	9214702	91.9729887107615
SRR9224036	24612431	22315863	90.66907287622259	22315847	90.66900786842226
SRR9224037	5661835	5027604	88.79813699975362	5027577	88.79766012255745
SRR9224038	7975338	7624044	95.5952462453629	7624039	95.59518355209522
SRR9224039	7690081	7405671	96.30159942398527	7405670	96.30158642022107
SRR9224040	5906971	5695176	96.41449060779205	5695173	96.41443982034107
SRR9224041	7679898	7392211	96.25402576961308	7392210	96.25401274860683
SRR9224042	7658959	7326560	95.65999765764512	7326558	95.65997154443573
SRR9224043	6496025	6254618	96.28377353843311	6254615	96.28372735634484
SRR9224044	10280914	9890391	96.20147586099836	9890388	96.2014466807134
SRR9224045	15501741	14810497	95.5408621521931	14810496	95.54085570130478
SRR9224046	10986235	10469274	95.29446621158203	10469272	95.29444800698327
SRR9224047	12033195	11543913	95.93389785505845	11543912	95.93388954471361
SRR9224048	5925080	5704973	96.28516408217273	5704970	96.28511344994499
SRR9224049	8480921	8170942	96.34498422989672	8170940	96.34496064755231
SRR9224050	17826923	15801851	88.64037276651725	15801758	88.6398510836671
SRR9224051	11697002	11213115	95.86315365253422	11213112	95.86312800493666
SRR9224052	7723951	7404454	95.86355480504731	7404452	95.86352891156352
SRR9224053	9270126	8076104	87.11967884794663	8076101	87.11964648592695
SRR9224054	11306270	9628712	85.16258677707148	9628709	85.16256024312173
SRR9224055	6957766	6684425	96.07142579960292	6684425	96.07142579960292
SRR9224056	10027103	9660244	96.34132610386071	9660243	96.34131613089045
SRR9224057	9845512	9436371	95.8443908249769	9436370	95.8443806680648
SRR9224058	11322002	10901472	96.28572755948991	10901465	96.28566573296843
SRR9224059	10446796	10031894	96.0284282377104	10031892	96.02840909308462
SRR9224060	9877739	9522846	96.40714337562473	9522838	96.4070623854305
SRR9224061	8169147	7247414	88.71690030795138	7247408	88.71682686087054
SRR9224062	6280019	5498507	87.55557905159203	5498506	87.55556312807335
SRR9224063	8500001	7544243	88.75578955814241	7544243	88.75578955814241
SRR9224064	5170589	4549830	87.99442384610342	4549829	87.994404505947
SRR9224065	6981643	6429381	92.08979891982446	6429379	92.08977027327235
SRR9224066	6283533	5732526	91.2309364811166	5732524	91.2309046518893
SRR9224067	7987126	7432084	93.05079198700508	7432082	93.05076694670899
SRR9224068	6129289	5573705	90.93558812449535	5573700	90.93550654896514
SRR9224069	10797921	9950289	92.15004443911008	9950283	92.14998887285802
SRR9224070	9958578	9125992	91.63950917490429	9125987	91.63945896693284
SRR9224071	11125888	10210720	91.77442735357394	10210716	91.77439140138746
SRR9224072	8729745	7891961	90.40311028558108	7891958	90.40307592031611
SRR9224073	9360884	8664149	92.55695295444319	8664145	92.55691022343616
SRR9224074	9459705	8761389	92.61799390150117	8761385	92.61795161688447
SRR9224075	25547619	22330435	87.40710827102909	22330431	87.40709261399272
SRR9224076	32574126	28494250	87.47510217158244	28494246	87.47508989189764
SRR9224077	4261867	3645884	85.54663953614696	3645882	85.54659260835685
SRR9224078	4452293	3939848	88.49031274446672	3939848	88.49031274446672
SRR9224079	14410443	12964697	89.96737296695181	12964687	89.96730357283256
SRR9224080	16550287	14825900	89.58092388367646	14825898	89.58091179929387
SRR9224081	4900575	4083946	83.33605750345623	4083946	83.33605750345623
SRR9224082	4908536	4336110	88.338152149643	4336106	88.33807065895004
SRR9224083	13099945	11319896	86.41178264488897	11319894	86.4117673776493
SRR9224084	5810606	5077709	87.38690938604338	5077706	87.38685775631664
SRR9224085	4889637	3893550	79.6286104674028	3893548	79.62856956457095
SRR9224086	8301174	6848898	82.50517336463493	6848897	82.50516131814608
SRR9224087	5133459	4505514	87.76760465019785	4505498	87.76729296951626
SRR9224088	4338031	3650702	84.15573793732688	3650701	84.15571488539386
SRR9224089	6511383	6230525	95.68666134368074	6230524	95.68664598596028
SRR9224090	7378998	7105999	96.30032424456545	7105999	96.30032424456545
SRR9224091	8714505	8365890	95.99960066578652	8365890	95.99960066578652
SRR9224092	12489472	10441235	83.60029150952097	10441235	83.60029150952097
SRR9224093	6370155	6134196	96.29586721202232	6134193	96.29582011740688
SRR9224094	10452133	10008495	95.75552664704898	10008495	95.75552664704898
SRR9224095	10013225	9607436	95.94746947162378	9607436	95.94746947162378
SRR9224096	6518269	6239431	95.72220784383093	6239429	95.72217716083826
SRR9224097	7697633	6607900	85.84327156153067	6607894	85.84319361549193
SRR9224098	8271052	7492916	90.59205527906245	7492916	90.59205527906245
SRR9224099	9399217	8707104	92.6364823793301	8707104	92.6364823793301
SRR9224100	6913324	6415448	92.79831236030599	6415448	92.79831236030599
SRR9224101	9902841	9191981	92.82165592681937	9191977	92.8216155343704
SRR9224102	9138290	8412161	92.05399478458224	8412155	92.05392912678411
SRR9224103	3479283	3276316	94.16641302245318	3276315	94.16638428089925
SRR9224104	7205075	6515311	90.42669229674917	6515310	90.42667841764313
SRR9224105	6889005	6413065	93.09130999324286	6413065	93.09130999324286
SRR9224106	10080909	9182979	91.09276752721406	9182977	91.09274768773332
SRR9224107	4926967	4632342	94.02015479299942	4632342	94.02015479299942
SRR9224108	6218013	5823121	93.64922524285491	5823118	93.64917699593101
SRR9224109	9127785	8374245	91.74454700674917	8374243	91.74452509562835
SRR9224110	9470614	8545818	90.23509985730598	8545801	90.23492035468873
SRR9224111	16478816	14470354	87.81185492938327	14470299	87.81152116754019
SRR9224112	6964243	6437148	92.43140998957101	6437146	92.43138127144616
SRR9224113	6809193	6329044	92.94851827521998	6329041	92.94847421713557
