Sample	input_raw_reads	fastp	bowtie
SRR10680318	23982428	23479366	23477735
SRR10680319	23122383	22736674	22732169
SRR10680320	24816158	24045699	24044626
SRR10680321	26923105	25989050	25969381
SRR10680322	24226591	23540530	23540069
SRR10680323	21651719	20908165	20896826
SRR10680324	22615568	21887477	21887381
SRR10680325	22017752	21501970	21460132
SRR10680326	23892919	23101949	23094344
SRR10680327	26066373	25644052	25576953
SRR10680328	17912099	17364755	17212291
SRR10680329	24830022	23968997	23961940
SRR10680330	24970717	24457862	24439574
SRR10680331	25310516	24522983	24522051
SRR10680332	25498792	24887021	24874730
SRR10680333	26278219	25572775	25569172
SRR10680334	22448350	21915638	21873906
SRR10680335	26274814	25564234	25563116
SRR10680336	23058554	22579331	22578397
SRR10680337	27812632	27323409	27275679
SRR10680338	25127639	24555952	24540481
SRR10680339	23644607	23046519	23045745
SRR10680340	23584009	23062284	23060854
SRR10680341	29027229	28468223	28458161
SRR10680342	22636575	21893374	21888626
SRR10680343	26225101	25623529	25622592
SRR10680344	20049493	19211359	19210612
SRR10680345	16988042	16242852	16238842
SRR10680346	25920313	25025120	25020851
SRR10680347	22880277	22274984	22274394
SRR10680348	46645106	45566488	45434536
SRR10680349	22795644	22310631	22309264
SRR10680350	22307672	21478920	21478307
SRR10680351	25822666	24858445	24856472
SRR10680352	18267375	17581865	17572233
SRR10680353	21343261	20528614	20525079
SRR10680354	23640905	22757969	22720661
SRR10680355	23688370	22832878	22827680
SRR10680356	35051480	34558490	34535892
SRR10680357	21889076	21096487	21091976
SRR10680358	24519944	23748186	23747502
SRR10680359	24359651	23747898	23738104
SRR10680360	23042696	22657966	22649754
SRR10680361	23048533	22525764	22525053
SRR10680362	24488477	23663526	23663132
SRR10680363	27318734	26350040	26331184
SRR10680364	23904829	23198821	23197635
SRR10680365	25561747	24943846	24943287
SRR10680366	26905323	25982126	25977899
SRR10680367	27836062	27187012	27186668
SRR10680368	24253762	23886799	23878168
SRR10680369	24923588	24116538	24108768
SRR10680370	19150049	18294255	18293107
SRR10680371	24279429	23833943	23762464
SRR10680372	21092557	20561216	20560041
SRR10680373	19708703	19256645	18646095
SRR10680374	23446293	22803873	22780105
SRR10680375	24534633	23707281	23705316
SRR10680376	24400733	23836662	23832205
SRR10680377	24136264	23368797	23361297
SRR10680378	26034823	25234721	25234455
SRR10680379	27192844	26766057	26729242
SRR10680380	29731949	29202584	29199965
