Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR10680318	23982428	23479366	97.90237252041369	23477735	97.89557170775203
SRR10680319	23122383	22736674	98.33188041215301	22732169	98.31239712619586
SRR10680320	24816158	24045699	96.89533327439324	24044626	96.89100947858246
SRR10680321	26923105	25989050	96.53065647517253	25969381	96.45760026564544
SRR10680322	24226591	23540530	97.16814883282588	23540069	97.16624596502248
SRR10680323	21651719	20908165	96.56584310926999	20896826	96.51347313347269
SRR10680324	22615568	21887477	96.78057610580464	21887381	96.78015161945082
SRR10680325	22017752	21501970	97.65742660740298	21460132	97.46740720851066
SRR10680326	23892919	23101949	96.68952127615718	23094344	96.65769176214928
SRR10680327	26066373	25644052	98.37982445812466	25576953	98.12240851460233
SRR10680328	17912099	17364755	96.94427771976919	17212291	96.0930988601615
SRR10680329	24830022	23968997	96.53232284691492	23961940	96.50390160749757
SRR10680330	24970717	24457862	97.94617431289619	24439574	97.872936528014
SRR10680331	25310516	24522983	96.8885146395277	24522051	96.8848323756023
SRR10680332	25498792	24887021	97.60078438225622	24874730	97.55258209879119
SRR10680333	26278219	25572775	97.31548017009828	25569172	97.30176919524112
SRR10680334	22448350	21915638	97.62694362837358	21873906	97.44104132374986
SRR10680335	26274814	25564234	97.29558504201019	25563116	97.29133001664636
SRR10680336	23058554	22579331	97.92171269716219	22578397	97.91766213961205
SRR10680337	27812632	27323409	98.24100430336834	27275679	98.06939163470757
SRR10680338	25127639	24555952	97.72486782383335	24540481	97.66329817138809
SRR10680339	23644607	23046519	97.47050987144765	23045745	97.46723639771217
SRR10680340	23584009	23062284	97.78780189576759	23060854	97.78173846524567
SRR10680341	29027229	28468223	98.074201295618	28458161	98.03953729100357
SRR10680342	22636575	21893374	96.71681338718423	21888626	96.69583848263265
SRR10680343	26225101	25623529	97.70612132246889	25622592	97.70254840963244
SRR10680344	20049493	19211359	95.8196748416531	19210612	95.81594906165458
SRR10680345	16988042	16242852	95.61344385656687	16238842	95.58983901735114
SRR10680346	25920313	25025120	96.54636500724355	25020851	96.52989529871803
SRR10680347	22880277	22274984	97.35452066423846	22274394	97.35194202412846
SRR10680348	46645106	45566488	97.68760735584993	45434536	97.40472237323246
SRR10680349	22795644	22310631	97.87234350562765	22309264	97.86634674589584
SRR10680350	22307672	21478920	96.28490144556545	21478307	96.2821535120294
SRR10680351	25822666	24858445	96.26598973165667	24856472	96.25834915728686
SRR10680352	18267375	17581865	96.24735354696557	17572233	96.19462566460697
SRR10680353	21343261	20528614	96.18311840913158	20525079	96.16655580419506
SRR10680354	23640905	22757969	96.26521911914962	22720661	96.10740790168566
SRR10680355	23688370	22832878	96.38855691632645	22827680	96.36661365893896
SRR10680356	35051480	34558490	98.5935258653843	34535892	98.52905497856295
SRR10680357	21889076	21096487	96.37906597793346	21091976	96.35845752465751
SRR10680358	24519944	23748186	96.85252951638063	23747502	96.84973995046644
SRR10680359	24359651	23747898	97.4886627070314	23738104	97.44845687649631
SRR10680360	23042696	22657966	98.33036030158972	22649754	98.29472211064191
SRR10680361	23048533	22525764	97.73187733900461	22525053	97.72879254397667
SRR10680362	24488477	23663526	96.6312686574996	23663132	96.62965973751655
SRR10680363	27318734	26350040	96.45410361988223	26331184	96.38508138773926
SRR10680364	23904829	23198821	97.04658836923703	23197635	97.0416270285807
SRR10680365	25561747	24943846	97.58271216752125	24943287	97.5805253060364
SRR10680366	26905323	25982126	96.56871987747554	25977899	96.55300923166766
SRR10680367	27836062	27187012	97.66831242149124	27186668	97.667076614501
SRR10680368	24253762	23886799	98.48698523552758	23878168	98.45139900358551
SRR10680369	24923588	24116538	96.76190282073351	24108768	96.7307275340934
SRR10680370	19150049	18294255	95.53111326242559	18293107	95.52511849969679
SRR10680371	24279429	23833943	98.16517101781925	23762464	97.870769530865
SRR10680372	21092557	20561216	97.480907601672	20560041	97.47533691624017
SRR10680373	19708703	19256645	97.70630264203587	18646095	94.60843262999093
SRR10680374	23446293	22803873	97.2600359468339	22780105	97.15866384506924
SRR10680375	24534633	23707281	96.62781994741881	23705316	96.61981086083496
SRR10680376	24400733	23836662	97.68830305220749	23832205	97.6700372074888
SRR10680377	24136264	23368797	96.82027425619806	23361297	96.78920068159678
SRR10680378	26034823	25234721	96.92680069305636	25234455	96.92577898455464
SRR10680379	27192844	26766057	98.43051723460775	26729242	98.29513235173195
