Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR11070334	21018239	19876336	94.56708528245397	19868354	94.52910874217389
SRR11070335	16527612	15514844	93.87226660451613	15477730	93.64770905802968
SRR11070336	21261923	20132878	94.6898265034635	20119311	94.62601759963104
SRR11070338	19276785	18345506	95.1689091308535	18341848	95.14993293746856
SRR11070342	19600773	18524443	94.5087369768529	18524062	94.50679317596301
SRR11070343	19501482	18436591	94.53943551572131	18434799	94.53024647049901
SRR11070344	16774621	15988274	95.31228157107097	15987152	95.30559289536258
SRR11070346	24450289	23182956	94.81669521370483	23110739	94.52133265173266
SRR11070347	13457951	12827020	95.31183461732027	12824480	95.2929610161309
SRR11070348	26114317	24792966	94.94012805312887	24690996	94.54965259095232
SRR11070355	20264297	19308773	95.28469208677706	19308250	95.28211119290248
SRR11070357	21769672	20724662	95.19969800188079	20716701	95.16312877842165
SRR11070358	18798250	17726779	94.30015559959038	17725562	94.29368159270145
SRR11070365	28013546	26647793	95.12466932961647	26644886	95.11429220706297
SRR11070366	25462713	24235269	95.17944533247498	24212708	95.09084126267298
SRR11070368	31938064	30206003	94.57681279616698	30199088	94.5551615151125
SRR11070369	22221156	21064235	94.79360569720136	21042756	94.69694555944794
SRR11070372	14206977	13389542	94.24624253280624	13386423	94.22428853090985
SRR11070373	13180415	12307748	93.37906279885725	12307349	93.3760355800633
SRR11070374	20636757	19559139	94.77816209203802	19558492	94.77502690950908
SRR11070375	25442951	24108639	94.75567122697363	24106641	94.74781836430844
SRR11070396	22625102	21500113	95.02769534475469	21499129	95.0233461930912
SRR11070397	17928161	16904554	94.29050754285396	16904247	94.28879515305557
SRR11070398	23236982	21948431	94.4547402928659	21947716	94.45166330119807
SRR11070399	23694348	22430927	94.66783808526826	22429416	94.66146103703718
SRR11070400	25340193	24124956	95.20431040126648	24104255	95.12261804793674
SRR11070401	10122818	9658101	95.4092131262263	9657830	95.40653600608053
SRR11070402	20045620	18889218	94.23114874970193	18888553	94.22783131676645
SRR11070407	17473331	16530521	94.60429153433881	16529706	94.59962728342983
SRR11070408	21354691	20215256	94.66424028331761	20213528	94.6561483844463
SRR11070409	20077059	19022420	94.7470443753739	18989713	94.58413704915645
SRR11070410	21749632	20631947	94.86113144351131	20631041	94.85696585579011
SRR11070411	20874384	19811692	94.90910965324774	19811210	94.90680060307409
SRR11070412	24193513	22978203	94.97671131926975	22977217	94.97263584664204
SRR11070413	27818077	26421991	94.98137128601665	26421324	94.9789735645638
SRR11070414	17004074	16111401	94.75024044237868	16110844	94.74696475679887
SRR11070415	22353492	21105365	94.41641153874303	21101495	94.39909880747044
SRR11070416	21674389	20504189	94.60100120930744	20501159	94.58702157647905
SRR11070417	20969849	19844662	94.63426274552573	19843622	94.62930324390987
SRR11070418	20742196	19640967	94.69087554663932	19637714	94.67519253988344
SRR11070419	12040430	11341651	94.19639497924908	11338170	94.16748405164932
SRR11070420	26866574	25619777	95.35930037078788	25617325	95.3501737884406
SRR11070421	28008641	26643308	95.12531507687217	26642773	95.12340495206462
SRR11070422	27831420	26390055	94.82108710227506	26388899	94.81693352333443
SRR11070426	16388634	15464783	94.36285537891688	15463454	94.3547461002546
SRR11070427	24796585	23514754	94.83061478022074	23489418	94.72843942018628
SRR11070428	20014057	19025205	95.05921263240131	19018409	95.02525649847004
SRR11070429	22836074	21657810	94.84033901799407	21650804	94.8096594887545
SRR13773777	18071948	17344105	95.9725260386982	17344045	95.9721940324308
SRR13773779	30570093	29279406	95.77794218682946	29273509	95.75865209176825
SRR13773782	24411568	23667189	96.95071205585812	23663604	96.93602639535486
SRR13773785	28187816	27408612	97.23567090121492	27405355	97.22411626356579
SRR13773786	33523814	32367242	96.54999875610812	32355818	96.51592148793094
SRR13773787	26296199	25396239	96.57760423854414	25395913	96.5763645156473
SRR13773788	31817030	30778803	96.73688273229777	30778642	96.7363767139799
SRR13773792	28389777	27646683	97.38252963381854	27637759	97.351095783528
SRR13773793	27873282	26700185	95.79132087853881	26699936	95.79042754993833
SRR13773794	27080589	26248346	96.92679136336363	26247680	96.92433203723893
SRR13773795	33876901	32659575	96.40661936580327	32658261	96.40274061668156
SRR13773799	30154376	29083899	96.45001110286613	29081521	96.44212501694614
SRR13773802	31462684	30401235	96.62632406059191	30395521	96.60816286366413
SRR13773805	25378743	24524042	96.63221696992636	24523637	96.63062114620887
SRR13773806	32677125	31511173	96.43190152132416	31506701	96.41821610683314
SRR13773807	30103619	29332225	97.43753732732267	29331722	97.43586643187318
SRR13773810	29142140	27800815	95.39730095319013	27750866	95.22590310800786
SRR13773814	27702959	26954498	97.29826333714027	26952733	97.29189217657218
