Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR13348569	26079928	24694719	94.68860113417492	24667761	94.58523428438913
SRR13348570	25850345	24393917	94.36592432325371	24390824	94.35395929918924
SRR13348571	22748500	21239094	93.36481086665054	21223436	93.29597995472228
SRR13348572	16099919	15272202	94.85887475582952	15271041	94.85166353942526
SRR13348573	15161219	14446068	95.28302440588715	14444443	95.27230627035992
SRR13348574	19102885	18107321	94.78841023227643	18098435	94.74189369825552
SRR13348575	11155117	10849231	97.25788622387375	10847211	97.23977794226631
SRR13348576	17723603	16278217	91.84485231360688	16255436	91.71631750045405
SRR13348577	16413590	15711790	95.72427482348469	15702241	95.6660974229282
SRR13348578	12862476	11917633	92.65426812069465	11899257	92.51140293672852
SRR13348579	32955569	31470271	95.49302881100307	31468624	95.48803117312282
SRR13348580	18346788	17269882	94.1302750105359	15835434	86.31175113594816
SRR13348581	22245431	21272253	95.62526794828116	21237759	95.47020689327171
SRR13348582	18556018	17606452	94.88270597711211	17468622	94.13992808155284
SRR13348583	20262476	19140340	94.46199960952453	19139958	94.46011435127672
SRR13348584	17963377	17094699	95.16417208189752	17086104	95.11632473114604
SRR13348585	20380675	19514675	95.75087674966605	19511503	95.73531298644427
SRR13348586	15640189	14625482	93.51218198194408	14550923	93.03546779389941
SRR13348587	16312404	15307791	93.84141662994614	15294766	93.76156941674569
SRR13348588	14253898	13524193	94.88066352095406	13513627	94.8065364295437
SRR13348589	16716514	16035155	95.9240365545113	16025252	95.86479573432595
SRR13348590	13888780	12964768	93.3470614409617	12959305	93.30772753258385
SRR13348591	12794410	11704463	91.48106868546499	11675524	91.25488396885828
SRR13348592	23708824	22390159	94.43808347474342	22388097	94.42938629094382
SRR13348593	21513101	20198203	93.88791973783789	20194875	93.87245009447965
SRR13348594	21587632	20099447	93.10630735228393	20048840	92.87188145508503
SRR13348595	18628065	17437261	93.60747345470396	17432639	93.58266143048138
SRR13348596	18694478	17764688	95.02639228546525	17703882	94.70113046216107
SRR13348597	19032324	18023573	94.69980124340044	17990066	94.5237481245065
SRR13348598	20281586	19134541	94.34440186285235	19087781	94.11384790124401
SRR13348599	17146907	16231158	94.6593925073484	16223471	94.6145622647863
SRR13348600	11996537	11345206	94.57067485391826	11344522	94.56497320851842
SRR13348601	13873234	12799246	92.25856062112122	12787261	92.17217124716558
SRR13348602	19998441	18808443	94.04954616212335	18770018	93.8574061848121
SRR13348603	19154108	18135938	94.6843256809453	18117738	94.58930689959564
SRR13348604	13347753	12395304	92.86434952759464	12393114	92.8479422716318
SRR13348605	14791947	13555827	91.64329077166109	13550669	91.60842044661193
SRR13348606	17088038	16303406	95.40829672780457	16293801	95.35208781722045
SRR13348607	7530295	7185344	95.41915688562001	7181594	95.36935803975807
SRR13348608	21923371	20193884	92.11121775022646	20151054	91.9158554585424
SRR13348609	21421739	20469615	95.55533750084435	20458479	95.50335292573587
SRR13348610	16349792	15446203	94.47339146577522	15444941	94.46567271314522
SRR13348611	14436187	13498769	93.50647092615245	13492573	93.46355100553907
SRR13348612	18528670	16685089	90.05011692690302	16601491	89.59893505578113
SRR13348613	19759772	18300984	92.61738445160196	18281572	92.51914445166675
SRR13348614	21307667	19976480	93.75254456529662	19962366	93.6863054974531
SRR13348615	15234465	14346195	94.16933906113539	14239369	93.46812638317131
SRR13348616	23773810	22592595	95.03144426576978	22590399	95.0222072103714
SRR13348617	14041153	13153210	93.67613898944055	13146728	93.62997468940051
SRR13348618	12920752	12358223	95.6463137749258	12357326	95.63937145454072
SRR13348619	20201441	19138005	94.73584087392578	19120282	94.64810950862366
SRR13348620	18661263	17356038	93.0056984888965	17354640	92.99820703453994
SRR13348621	16796544	15882953	94.56083942029979	15882192	94.55630872636657
SRR13348622	15885341	15014368	94.51712745732056	14941056	94.05562020985259
SRR13348623	17064489	15614855	91.50496683492837	15584386	91.32641475522648
SRR13348624	12065001	11249488	93.24067192369068	11248608	93.23337809918127
SRR13348625	14207662	13180195	92.76821900746232	13179266	92.76168028209004
SRR13348626	17198934	16377322	95.22288997678578	16376221	95.21648841724726
SRR13348627	14038249	12751694	90.83535987999642	12745115	90.78849506088686
SRR13348628	19414760	18259883	94.0515514999928	18251688	94.00934134648072
SRR13348629	13509424	12285617	90.94108675543828	12283622	90.92631928644775
SRR13348630	19371641	18632210	96.18292017697416	18628430	96.16340711661961
SRR13348631	15078327	14019590	92.97841862694715	13951815	92.52893242068566
SRR13348632	17137716	15997473	93.34658714148372	15996351	93.3400401780494
SRR13348633	19627338	18523408	94.37554904287072	18520873	94.36263338410946
SRR13348634	15822436	15008141	94.85354214736593	15007673	94.85058432216127
SRR13348635	15134039	13875961	91.68709688140754	13848728	91.50715152775805
SRR13348636	21104246	19835173	93.9866460995574	19831516	93.96931783300857
SRR13348637	20047734	18968516	94.61675818324406	18963816	94.59331413714887
SRR13348638	16104948	15188302	94.30829581070364	13374415	83.04537835204435
SRR13348639	19681938	18737520	95.20160057408981	18736353	95.19567127993189
SRR13348640	17239575	16383832	95.03617113530932	16373684	94.97730657513308
SRR13348641	19390413	18225133	93.99043228217985	18223879	93.98396516876664
SRR13348642	16776100	16012647	95.44916279707441	16011390	95.44166999481405
SRR13348643	20718074	19830769	95.7172418633122	19830560	95.71623308228361
SRR13348644	10366491	9906808	95.56568370145693	9901897	95.51830990833832
SRR13348645	16038310	15181466	94.65751690795352	15174640	94.61495631397572
SRR13348646	20353933	19011443	93.40427228486996	18962389	93.16326726633127
SRR13348647	16232008	15062892	92.79746535363955	15006747	92.4515746911904
SRR13348648	29220579	27671538	94.69880114285209	27646884	94.61442909806817
SRR13348649	15736165	14994308	95.28565568548628	14992794	95.27603453573346
SRR13348650	14220765	13583492	95.51871506209406	13310597	93.59972547187158
SRR13348651	13297431	12811693	96.34712900559515	12795050	96.22196949170106
SRR13348652	11754727	11310637	96.2220305073865	11310059	96.21711333661769
SRR13348653	18762505	17726582	94.47875963257572	17714419	94.41393353392844
SRR13348654	20042436	18953895	94.5688188801002	18951378	94.55626052641504
SRR13348655	14960507	14278704	95.44264776588119	14242232	95.19885923652186
SRR13348656	16629427	15561761	93.5796585173981	15430442	92.7899800756815
SRR13348657	15750987	15093439	95.82535367466178	15089021	95.79730463875057
SRR13348658	19030183	18065361	94.93004349984443	18060466	94.9043212038476
SRR13348659	20193253	19162996	94.89801370784589	19118871	94.67950012808734
SRR13348660	20750693	19582707	94.37133979091686	19572454	94.32192939291232
SRR13348661	18901711	17639919	93.32445618282917	17638034	93.31448354066994
SRR13348662	10850826	10428693	96.10966943899018	10424951	96.07518358510218
SRR13348663	19525461	18493101	94.71274967592315	18253268	93.48444064905817
SRR13348664	11447086	10669933	93.21090974593884	10664884	93.16680245085955
SRR13348665	19773627	18727282	94.70838101679576	18718226	94.66258264100966
SRR13348666	20308223	19140020	94.24763555137247	19077074	93.93768228761324
SRR13348667	10341466	9609674	92.92371120303446	9608970	92.91690365756654
SRR13348668	19452932	18542201	95.31828415377178	18540491	95.30949370511344
SRR13348669	15287158	13648050	89.2778762409599	13646656	89.26875747604623
SRR13348670	12220853	11273454	92.24768516567542	11218338	91.79668555050945
SRR13348671	16116975	15336594	95.15801817648783	15326314	95.09423449499673
SRR13348672	9614130	9027103	93.89412250510448	9026226	93.88500051486717
SRR13348673	11461029	10761575	93.89710993663833	10743691	93.74106810130225
SRR13348674	15899107	14237703	89.5503313487984	14204195	89.3395773737481
SRR13348675	15851367	15064983	95.03901461621574	15041226	94.88914110688371
SRR13348676	22868638	21660738	94.71809383663339	21656551	94.69978491941671
SRR13348677	18364716	17400948	94.75206695273698	17385426	94.66754617931473
SRR13348678	20353466	19357888	95.10855792325495	19354953	95.09413777486351
SRR13348679	9664203	9019884	93.33293185170055	9019254	93.32641294890018
SRR13348680	17812744	16955700	95.18859082014541	16951752	95.16642691322572
