Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR15343398	6097964	5608787	91.97802742029963	5606306	91.93734170946237
SRR15343405	5740012	5304773	92.41745487640095	5304493	92.41257683781846
SRR15343408	5859588	5389021	91.9692817993347	5389000	91.96892341236278
SRR15343409	6858453	6398161	93.2886906128831	6398141	93.28839900193236
SRR15343410	6832098	6345438	92.8768586164894	6345365	92.87579013064509
SRR15343411	6896118	6388044	92.63246365563931	6387738	92.62802637657882
SRR15343412	7261833	6696162	92.21035515413257	6696026	92.20848234874033
SRR15343413	3932877	3614428	91.90289958216339	3614414	91.90254360866103
SRR15343414	5680953	5249644	92.40780552136235	5249615	92.40729504363088
SRR15343415	6522938	5997781	91.9490726418065	5997653	91.947110335864
SRR15343416	6097065	5732314	94.01759699133927	5731868	94.01028199633758
SRR15343417	5937089	5512501	92.84854917957269	5512459	92.84784176218346
SRR15343418	5577814	5259211	94.28803111756685	5259185	94.28756498513576
SRR15343419	6352913	5964740	93.88984234476374	5963537	93.87090614966709
SRR15343420	6051542	5632695	93.0786731712347	5632524	93.07584744516356
SRR15343421	5946876	5600498	94.17546288168779	5600444	94.17455484190354
SRR15343422	5795540	5446147	93.97134693229621	5445835	93.96596348226394
SRR15343423	6110354	5733104	93.8260532859471	5732805	93.82115995243483
SRR15343424	5943366	5550436	93.3887632025354	5550387	93.38793875389804
SRR15343425	5967629	5607342	93.96264412549775	5607304	93.96200735669056
SRR15343426	5483872	5103710	93.06763542256274	5103680	93.06708836384219
SRR15343427	6236065	5821984	93.35989923132615	5821946	93.35928987270017
SRR15343428	5973979	5627071	94.19301607856339	5626954	94.1910575849028
SRR15343429	6177915	5796138	93.82029373987825	5796085	93.81943584526495
SRR15343430	6144096	5756847	93.69721762159966	5756656	93.69410894621439
SRR15343431	5653799	5330696	94.28520539905999	5330570	94.28297680904468
SRR15343432	5889299	5545233	94.15777667257173	5545217	94.15750499337867
SRR15343433	5764865	5437555	94.32233018466174	5437502	94.32141082228291
SRR15343434	6271178	5858091	93.4129281611844	5858007	93.41158869992209
SRR15343435	6055298	5683651	93.86244904875036	5683634	93.8621683028647
SRR15343436	6786892	6386112	94.09479331629265	6386048	94.093850322062
SRR15343437	5788326	5353093	92.4808485216624	5353044	92.48000199021271
SRR15343438	6386955	5991886	93.81443896191534	5991857	93.81398491143275
SRR15343439	6356978	5974151	93.97784607717692	5974113	93.97724830886625
SRR15343440	6091636	5709744	93.73087952070675	5709714	93.73038704216732
SRR15343441	5879423	5501820	93.57755004190037	5501812	93.57741397412637
SRR15343442	6053872	5701917	94.18628276250307	5701894	94.185902840364
SRR15343443	6636349	6273770	94.53646877221195	6273628	94.53432904146541
SRR15343444	6250972	5868662	93.88399116169454	5866065	93.84244562285673
SRR15343445	5650187	5310424	93.98669459966547	5310257	93.98373894527738
SRR15343446	6917972	6540533	94.54408025935925	6540179	94.53896315278524
SRR15343447	5954027	5636801	94.67207656263568	5636795	94.6719757905028
SRR15343448	5638133	5213543	92.46931564047885	5213516	92.46883675855109
SRR15343459	6595993	6118949	92.76766970492541	6118943	92.76757874060813
SRR15343470	5635783	5210908	92.46111853490456	5210819	92.45953933996394
SRR15343481	5356239	4983845	93.04747230286027	4983539	93.041759338969
SRR15343492	2522215	2284716	90.58371312516974	2284679	90.58224616061676
SRR15343503	3798249	3501558	92.1887427601508	3501530	92.18800557835992
SRR15343512	6703810	6248246	93.20440167606182	6248134	93.20273098432085
SRR15343523	2342886	2162231	92.28921082801297	2162223	92.28886936880411
SRR15343534	4936002	4559444	92.37119433906226	4559435	92.37101200526256
SRR15343545	4216140	3869029	91.76709027688834	3869024	91.76697168500098
SRR15343554	4171786	3865737	92.6638375026907	3865392	92.6555676633461
SRR15343555	5652615	5224431	92.42502806223314	5224389	92.42428504329412
SRR15343558	3931100	3621476	92.12373127114549	3621476	92.12373127114549
SRR15343569	4026977	3727648	92.56690564659297	3727611	92.56598684323252
SRR15343570	4324274	3982191	92.08923856351379	3982160	92.08852168017106
SRR15343571	3728661	3432952	92.0692977988613	3432686	92.06216387062273
SRR15343572	6450422	5940414	92.09341652375612	5940349	92.09240883774737
SRR15343573	5952161	5502401	92.44375278155277	5501285	92.42500328872153
