Sample	input_raw_reads	fastp
DRR042264	9213989	9041670
DRR042272	14403069	14032875
DRR042280	13115207	12803675
DRR042288	9215026	9116442
DRR042304	13080182	12723467
DRR042312	9220695	9119178
DRR042316	8443702	8383303
DRR042320	14073233	13707802
DRR042328	7924914	7868187
DRR042332	12844073	12490793
DRR042340	14131242	13757976
DRR042348	7650770	7597376
DRR042352	9513438	9411666
DRR042356	9530432	9430115
DRR042360	9413070	9323189
DRR042364	8263807	8178148
DRR042390	9749135	9654076
DRR042394	9629411	9526008
DRR042398	9786169	9693573
DRR042402	12171331	11860538
DRR042410	11721768	11431435
DRR042420	10484105	10194078
DRR042424	11888451	11483640
DRR042428	9262669	9028801
DRR042436	12072418	11818768
DRR042452	12245087	11847306
DRR042462	10640596	10437739
DRR042468	8316345	8134066
DRR042472	11672126	11302843
DRR042482	13101156	13044296
DRR042488	12895260	12332113
DRR042591	11465841	11408041
