Sample	input_raw_reads	trf
DRR042264	9213989	9007785
DRR042272	14403069	13983620
DRR042280	13115207	12768838
DRR042288	9215026	9036693
DRR042304	13080182	12685050
DRR042312	9220695	9044794
DRR042316	8443702	8301087
DRR042320	14073233	13669088
DRR042328	7924914	7787630
DRR042332	12844073	12453305
DRR042340	14131242	13722784
DRR042348	7650770	7535359
DRR042352	9513438	9337121
DRR042356	9530432	9354686
DRR042360	9413070	9239696
DRR042364	8263807	8115656
DRR042390	9749135	9573510
DRR042394	9629411	9448769
DRR042398	9786169	9623515
DRR042402	12171331	11831271
DRR042410	11721768	11399092
DRR042420	10484105	10253908
DRR042424	11888451	11465231
DRR042428	9262669	9012480
DRR042436	12072418	11780151
DRR042452	12245087	11832662
DRR042462	10640596	10402715
DRR042468	8316345	8130506
DRR042472	11672126	11323952
DRR042482	13101156	12911219
DRR042488	12895260	12728855
DRR042591	11465841	11370906
