Sample	input_raw_reads	trimmomatic
DRR042264	9213989	9052537
DRR042272	14403069	14051697
DRR042280	13115207	12818957
DRR042288	9215026	9119555
DRR042304	13080182	12742642
DRR042312	9220695	9122302
DRR042316	8443702	8386954
DRR042320	14073233	13726209
DRR042328	7924914	7872097
DRR042332	12844073	12509198
DRR042340	14131242	13777283
DRR042348	7650770	7601087
DRR042352	9513438	9414675
DRR042356	9530432	9433026
DRR042360	9413070	9325950
DRR042364	8263807	8180663
DRR042390	9749135	9656919
DRR042394	9629411	9529138
DRR042398	9786169	9696224
DRR042402	12171331	11875977
DRR042410	11721768	11446238
DRR042420	10484105	10296350
DRR042424	11888451	11517234
DRR042428	9262669	9051268
DRR042436	12072418	11835980
DRR042452	12245087	11882460
DRR042462	10640596	10449664
DRR042468	8316345	8163081
DRR042472	11672126	11371478
DRR042482	13101156	13046252
DRR042488	12895260	12817586
DRR042591	11465841	11422562
