Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR8180446	35238113	33988587	96.4540496251885	33971927	96.40677127064097
SRR8180447	30135204	27617203	91.64432070876309	27496629	91.2442105917053
SRR8180448	39263818	37070526	94.41396147465842	37023177	94.2933695342618
SRR8180449	36380609	34861240	95.8236845348026	34817062	95.70225171326847
SRR8180450	44936343	42235981	93.9906947924089	42219394	93.95378257638811
SRR8784353	26728773	25317197	94.71888964001452	25293842	94.63151189169814
SRR8784356	22965842	22269211	96.96666466659485	22260448	96.92850799896647
SRR8784358	22702426	21895384	96.44512881574859	21880929	96.38145720637962
SRR8784360	29278452	27179464	92.83094611696	27176317	92.82019759787846
SRR8784362	25743851	24755287	96.1599995276542	24750665	96.14204572579293
SRR8784364	21529593	20722090	96.24933457868897	20709920	96.19280773212945
SRR8784365	18861147	17712303	93.90893883601035	17680396	93.73977096939015
SRR8784368	20288739	19272286	94.99006320698393	19268629	94.97203842979103
SRR8784370	24709254	23619306	95.58890770235313	23615654	95.57412781462362
SRR8784374	23486415	22257158	94.76609350554352	22254626	94.75531280529617
SRR8784377	16824063	16078656	95.56939961530101	16072585	95.53331439617172
SRR8784378	25727815	24764541	96.25590435876502	24756588	96.22499228947348
SRR8784379	25022859	23936877	95.66004028556449	23930581	95.63487929177079
SRR8784380	29514893	28176669	95.46593646807393	28164404	95.42438117597106
SRR8784381	19115487	18215542	95.29206344572859	18200807	95.2149793515593
SRR8784383	45709793	44314274	96.94700214459515	44304535	96.92569598816604
SRR8784384	30055905	28950883	96.3234445943318	28744149	95.63561303510907
SRR8784387	19419053	18394565	94.724315341227	18390759	94.70471603326898
SRR8784389	25540827	24732927	96.83682912851648	24725391	96.80732342770263
SRR8784390	25027010	23821861	95.18460655108221	23790211	95.05814318210605
SRR8784391	22773121	21813571	95.78648003494997	21796267	95.71049571993228
SRR8784395	24162192	22992615	95.15947476950767	22988507	95.14247300079397
