Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR8803176	12351692	11171509	90.44517139838007	11171507	90.44515520626648
SRR8803177	18796912	17730566	94.32701499054738	17730564	94.32700435050182
SRR8803178	14763755	13406586	90.80742670140489	13406579	90.8073792879928
SRR8803179	40643981	39082325	96.15771890061654	39082324	96.15771644022765
SRR8803180	19208054	17847029	92.91430042835157	17847029	92.91430042835157
SRR8803181	14991874	13759744	91.78134768208432	13759743	91.78134101180413
SRR8803182	19248702	17610795	91.49081844583598	17610793	91.49080805552498
SRR8803183	9302810	8478630	91.14052635708995	8478630	91.14052635708995
SRR8803184	17548063	16024145	91.31574806860449	16024145	91.31574806860449
SRR8803185	21543833	20206631	93.79311007470213	20206611	93.79301724071107
SRR8803186	22505879	21147802	93.96567892327155	21147798	93.9656611501377
SRR8803187	17333203	16295887	94.01543961609403	16295784	94.01484538085661
SRR8803188	15190586	14394872	94.76179523291597	14394766	94.76109743231763
SRR8803189	28577568	27442413	96.02781104396287	27442299	96.02741212968158
SRR8803190	17112122	15823160	92.46755019628775	15823106	92.46723463051514
SRR8803191	26203566	24753349	94.46557388410417	24753348	94.4655700678297
SRR8803192	26103981	24295368	93.07150507043352	24295363	93.07148591626695
SRR8803193	38361038	36395916	94.8772971158914	36395914	94.87729190226814
SRR8803194	21038147	19606409	93.19456223972577	19606407	93.1945527331851
SRR8803195	20422519	19294566	94.476915408917	19294557	94.47687133991649
SRR8803196	16629493	15719466	94.52763232168293	15719462	94.52760826803319
SRR8803197	24207040	22426230	92.6434210874192	22426229	92.64341695638954
SRR8803198	23860225	22048436	92.40665584670722	22048432	92.40663908240597
SRR8803199	34822106	32429845	93.13005077866342	32429834	93.13001918953438
SRR8803200	22123340	21241921	96.0158863896681	21241312	96.0131336407613
SRR8803201	23036428	21699233	94.19530232725316	21699206	94.19518512158221
SRR8803202	32371344	30767613	95.04583127595815	30767611	95.04582509765427
SRR8803203	25441276	23505794	92.39235484886844	23505788	92.39233126514567
SRR8803204	20632476	19278104	93.43572724863462	19278099	93.43570301499442
SRR8803205	25680410	24240524	94.39305680867245	24240446	94.39275307520401
SRR8803206	14170763	12973872	91.5537998906622	12973871	91.55379283387917
SRR8803207	27148311	25354436	93.39231453477898	25354436	93.39231453477898
SRR8803208	29139859	27821334	95.47518400826853	27821334	95.47518400826853
SRR8803209	33443441	31387939	93.85379632436745	31387901	93.85368269969588
SRR8803210	32749975	30892531	94.32841093771827	30892530	94.32840788428084
SRR8803211	19178057	18382852	95.85356848193746	18382840	95.85350591042669
SRR8803212	24393818	22967521	94.15303910195608	22967116	94.15137884524678
SRR8803213	29621571	28373773	95.78753604932028	28373771	95.78752929748391
SRR8803214	34643736	32913358	95.0052211458949	32913347	95.00518939412308
SRR8803215	17931613	16920389	94.36066348297835	16920389	94.36066348297835
SRR8803216	18969401	17929407	94.51751797539627	17929407	94.51751797539627
SRR8803217	17567101	16246489	92.48247049982807	16246424	92.48210049000116
SRR8803218	26127531	24617679	94.2212220511766	24617672	94.2211952595138
SRR8803219	30204256	28570582	94.59124568405194	28570563	94.59118277900969
SRR8803220	11549695	10607537	91.84257246619933	10607537	91.84257246619933
SRR8803221	18038108	16575595	91.89209311752651	16575595	91.89209311752651
SRR8803222	25915686	24685304	95.2523656908021	24685301	95.25235411480136
SRR8803223	26653495	25200445	94.54836973537617	25200434	94.54832846499117
SRR8803224	24451506	23003796	94.07926039402236	23003788	94.07922767620121
SRR8803225	24397438	22607083	92.66170898764042	22607060	92.66161471544676
SRR8803226	24502678	23148427	94.47304902753895	23148424	94.47303678397928
SRR8803227	31491151	29446338	93.50670605847338	29446335	93.50669653198767
SRR8803228	49090657	46806525	95.34711462509047	46806521	95.34710647690048
SRR8803229	21288445	20009263	93.99119099586653	20009262	93.99118629848257
SRR8803230	41389695	39426726	95.25734847768267	39426614	95.25707787892614
SRR8803233	29804435	28449569	95.4541463376172	28449566	95.45413627200114
SRR8803234	19535921	18618905	95.30600067434753	18618894	95.30594436781352
SRR8803235	30772962	29391883	95.51203748277464	29391871	95.51199848750342
SRR8803236	32939717	30961567	93.9946357159049	30961564	93.99462660835853
SRR8803237	32688580	31029833	94.92560704686468	31029833	94.92560704686468
SRR8803238	4433420	4273439	96.39147655760112	4273437	96.39143144570106
SRR8803239	15358159	14325368	93.27529425890174	14325357	93.27522263573388
SRR8803240	21671617	20405525	94.15783326181891	20405525	94.15783326181891
SRR8803241	22618887	20877954	92.30318892348683	20877952	92.30318008131877
SRR8803242	31078214	29534213	95.03188632396959	29534171	95.03175118106851
SRR8803243	21944885	21257133	96.86600317112621	21257130	96.86598950051459
