Sample	input_raw_reads	fastp	bowtie
SAMEA1964687	33794131	28231710	28231174
SAMEA1964695	28542845	16551915	16551753
SAMEA1964852	31957940	17312035	17311246
SAMEA1965149	48927310	37211867	37208736
SAMEA1965858	58867554	45968431	45968342
SAMEA1966821	29519581	14866925	14866684
SAMEA1967319	38736150	31664164	31660951
SAMEA1967891	30449273	16277811	16277659
SAMEA1969126	29390647	17475145	17474627
SAMEA1969178	29434545	14882505	14882434
SAMEA1969417	32602841	26759104	26759000
SAMEA1970858	43368945	35721509	35721425
SAMEA1971210	44805852	36301530	36300868
SAMEA1972188	53912811	43535178	43534670
SAMEA1972381	43534468	34710004	34709889
SAMEA2142349	49333495	40124104	40121882
SAMEA2142525	37194352	29292461	29292001
SAMEA2142594	32813386	16445148	16444982
SAMEA2142793	37186014	28098951	28096812
SAMEA2142846	29645550	15913457	15912124
SAMEA2142848	29602114	17353020	17352766
SAMEA2142970	43812936	36779613	36779484
SAMEA2143074	51852692	40667793	40667265
SAMEA2143633	45441497	38688141	38687603
SAMEA2143863	40424075	31800867	31800005
SAMEA2143980	29704572	10764039	10763521
SAMEA2144223	46210848	38784561	38784467
SAMEA2144304	44271885	34701158	34701055
SAMEA2144396	37683974	29375626	29375161
SAMEA2144525	28266807	17331367	17331231
SAMEA2144555	49442487	38526008	38525921
SAMEA2144578	29989355	18533021	18532262
SAMEA2144588	38964566	20407243	20406470
SAMEA2144623	36904022	28145192	28144586
SAMEA2144980	44427195	35420746	35420599
SAMEA2145068	29415295	16135614	16134761
SAMEA2145301	35915650	28712155	28711552
SAMEA2145365	48028606	39978917	39976847
SAMEA2145582	29823448	14200395	14200041
SAMEA2145648	29844475	13122752	13122642
SAMEA2145758	29555661	17795034	17794833
SAMEA2145815	39518019	33127896	33125973
SAMEA2146009	45883744	37724951	37724139
SAMEA2146107	38335125	27530239	27529694
SAMEA2146320	30961766	18516508	18514927
SAMEA2146477	47809980	35744268	35743057
SAMEA2146552	52389167	45074553	45074113
SAMEA2146600	38582052	32074259	32073901
SAMEA2146682	35654486	16920966	16917530
SAMEA2146731	33258542	19272965	19271446
SAMEA2146908	27505770	16738995	16737461
SAMEA2147022	33041041	19506984	19506649
SAMEA2147036	42976394	36535643	36535569
SAMEA2147070	30179345	18583508	18581935
SAMEA2147092	29733201	12881378	12881306
SAMEA2147114	35379933	26931016	26929978
SAMEA2147216	31752577	17820155	17819710
SAMEA2147326	44625196	36335247	36334873
SAMEA2147384	30834750	19691565	19691281
SAMEA2147587	35213514	27577953	27574187
SAMEA2147589	31603726	20268864	20268370
SAMEA2147991	34911534	25691176	25691080
SAMEA2148094	53159662	41933168	41933019
SAMEA2148105	31546860	19985172	19985011
SAMEA2148265	29697354	15286891	15286615
SAMEA2148412	46018505	36153430	36153349
SAMEA2148549	29214862	11705718	11703591
SAMEA2148755	43801963	37670309	37670248
SAMEA2149068	49356390	42230526	42230193
SAMEA2149228	40226900	33344495	33344340
SAMEA2149241	49032102	40831234	40828680
SAMEA2149271	33282106	27595269	27593823
SAMEA2149539	40360654	21701497	21699559
SAMEA2149636	53426062	42115476	42115334
SAMEA2149794	45067560	38605933	38605549
SAMEA2149983	44057142	37091373	37091270
SAMEA2150168	52266862	44611615	44609942
SAMEA2150234	45647261	36929295	36928075
SAMEA2150447	29418312	12633777	12632070
SAMEA2150563	30950602	25191619	25191184
SAMEA2150726	49644642	36516874	36516400
SAMEA2150876	31231455	20056458	20055207
SAMEA2150909	29241988	15056022	15055429
SAMEA2151007	39741160	33294404	33294181
SAMEA2151010	48397323	39829406	39828133
SAMEA2151034	33881049	27614649	27614245
SAMEA2151383	47666326	34753026	34752923
SAMEA2151391	37796864	20240399	20239146
SAMEA2151439	38054007	29548667	29547978
SAMEA2151606	27273185	14802805	14802728
SAMEA2151633	36776581	27663114	27662631
SAMEA2151677	27668436	13878694	13878552
SAMEA2151703	44291562	36919966	36919617
SAMEA2151838	31130561	24085718	24083233
SAMEA2152063	44361848	33851938	33851847
SAMEA2152064	49448776	41896277	41895634
SAMEA2152065	28389755	16860996	16860267
SAMEA2152125	33090647	17339278	17338727
SAMEA2152204	28796483	22112566	22112197
SAMEA2152373	46538391	32887203	32887038
SAMEA2152443	46710328	37696696	37691366
SAMEA2152521	42454494	33865454	33864528
SAMEA2152531	47217787	36069696	36068692
SAMEA2152591	57841994	46514090	46513115
SAMEA2152938	35509452	27621262	27543915
SAMEA2153005	44486812	33808498	33808369
SAMEA2153010	30645686	20321649	20321349
SAMEA2153251	40070372	34790082	34789493
SAMEA2153397	48408539	37553089	37553053
SAMEA2153557	40853016	20539103	20538895
SAMEA2153852	51424093	44461621	44461545
SAMEA2153898	53683977	44536524	44535080
SAMEA2154015	51913644	39027620	39026972
SAMEA2154036	42914024	35286070	35285384
SAMEA2154047	32665569	14971023	14970836
SAMEA2154150	50160914	39304349	39304198
SAMEA2154452	29989877	15972217	15969737
SAMEA2154516	31681595	27039981	27039803
SAMEA2154561	45847758	35981101	35981020
SAMEA2154620	44553542	36244293	36243853
SAMEA2154893	27792408	15962575	15962494
SAMEA2154920	29279514	16808069	16807989
SAMEA2154992	31218254	18776374	18776236
SAMEA2155093	41197728	34415229	34415147
SAMEA2155134	47214790	39185461	39178946
SAMEA2155255	45073600	37073796	37072979
SAMEA2155310	34157685	19880393	19879938
SAMEA2155373	31551023	19054940	19054731
SAMEA2155512	49930665	41273637	41271894
SAMEA2155520	40619953	33506012	33505916
SAMEA2155636	29120278	17572958	17572823
SAMEA2155689	32108566	15884133	15883496
SAMEA2155758	42334046	34786622	34786046
SAMEA2155902	46470273	34908814	34908765
SAMEA2156032	46094465	36144319	36137370
SAMEA2156362	29977361	16379976	16379131
SAMEA2156486	47565005	38909836	38908328
SAMEA2156577	36025662	30665763	30665441
SAMEA2156675	33506297	24354800	24354360
SAMEA2156714	46589022	35740402	35738363
SAMEA2156850	48206629	39945732	39945557
SAMEA2156906	30673895	18604851	18604393
SAMEA2157028	38282927	31421065	31420328
SAMEA2157192	27626797	15264744	15264494
SAMEA2157273	33443638	16642187	16640973
SAMEA2157747	33297798	25109327	25108822
SAMEA2157793	28197773	11881643	11881532
SAMEA2157850	53669437	40259302	40258159
SAMEA2157909	30212546	19449299	19449245
SAMEA2157917	41831870	35166865	35166790
SAMEA2157972	54622453	43855545	43853927
SAMEA2157977	32430161	27737976	27737881
SAMEA2158039	43636252	35006751	35001899
SAMEA2158062	49900968	43313957	43313567
SAMEA2158100	27751709	18803731	18803081
SAMEA2158190	38025060	28704409	28704110
SAMEA2158269	34996511	28089413	28088808
SAMEA2158408	32891514	18064819	18064763
SAMEA2158454	29054603	18401579	18401157
SAMEA2158468	46728789	36850510	36849214
SAMEA2158521	27570501	15906321	15905393
SAMEA2158542	44340541	36074324	36073834
SAMEA2158769	47656902	33534496	33534395
SAMEA2159032	44074275	37478496	37478297
SAMEA2159102	30580215	24811985	24810793
SAMEA2159162	46739045	37346099	37345844
SAMEA2159202	33641796	26718054	26718034
SAMEA2159338	32412558	26686857	26686146
SAMEA2159408	35169143	27754053	27753916
SAMEA2159429	41924487	22030475	22030398
SAMEA2159529	43192858	35205702	35205543
SAMEA2159561	33178805	17867896	17867787
SAMEA2159881	46373966	34063642	34063480
SAMEA2159891	29829073	13455069	13454925
SAMEA2159974	37936593	29033827	29033628
SAMEA2160045	29686284	17414075	17409881
SAMEA2160152	51157803	42503802	42503694
SAMEA2160437	27533237	14836635	14832838
SAMEA2160490	46387812	35557940	35556872
SAMEA2160616	40005864	30916728	30916007
SAMEA2160902	35782200	31518998	31518948
SAMEA2160998	45146448	37032259	37032144
SAMEA2161021	31756916	18025913	18025881
SAMEA2161222	32402130	26495954	26495788
SAMEA2161311	50157534	40451604	40449227
SAMEA2161372	58533367	45603475	45603303
SAMEA2161597	44534551	35853624	35853550
SAMEA2161657	37793040	29897248	29897092
SAMEA2161897	58936507	52261713	52261129
SAMEA2162036	42970651	35870606	35870551
SAMEA2162182	34273643	26583704	26583622
SAMEA2162200	26457394	16586798	16585954
SAMEA2162231	30819706	25271451	25270008
SAMEA2162259	26338202	16760816	16760217
SAMEA2162475	48733462	38690246	38690075
SAMEA2162573	44920119	37699768	37699645
SAMEA2162640	49049383	41211640	41208710
SAMEA2162811	50780124	41424996	41424891
SAMEA2162844	46336940	39029988	39029900
SAMEA2162862	30578998	15727055	15726703
SAMEA2162880	31892255	17302458	17301514
SAMEA2163248	27559944	15600457	15600364
SAMEA2163351	30609905	18395536	18395422
SAMEA2163432	58537173	44268116	44267993
SAMEA2163504	29391027	15322684	15322358
SAMEA2163575	33998901	26419353	26394156
SAMEA2163583	45982409	37943813	37943727
